"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","Hurley"
309,4,0,"OT",0,0,0," â€¢ Roommate"
310,4,0,"OT",0,0,0,"0 â€¢ Services"
311,4,0,"OT",0,0,0,"S â€¢ Selling"
312,4,0,"OT",0,0,0,1
313,4,0,"OT",0,0,0,"(0 You can place them in our drop boxes"
314,4,0,"OT",0,0,0,"CO at the UU info desk, and Mustang Dai-"
315,4,0,"OT",0,0,0,"CO ly office (GA 226)."
316,4,0,"OT",0,0,0,"Ãœ ' A. ,"
317,4,0,"OT",0,0,0,"_ Lovo Boat Wheal of Fortuno Emorgoncy"
318,4,0,"OT",0,0,0,"Instnictionol Programa hhaaion Impoealbfa"
319,4,0,"OT",0,0,0,"__Bowftchod"
320,4,0,"OT",0,0,0,"I0/17I Variad Programs lEl AN-Day Moviaa 10:30 Q QD Soap World"
321,4,0,"OT",0,0,0,"B Leva Amoricon Stylo 11:00 0 B (9 Young and Iho Rsslioea"
322,4,0,"OT",0,0,0,"X B Family Faud ^IN HooiSioo Nows Bonanza Variad Programs Sokil"
323,4,0,"OT",0,0,0,"Hogon't Horoos"
324,4,0,"OT",0,0,0,4:30
325,4,0,"OT",0,0,0,5:00
326,4,0,"OT",0,0,0,5:30
327,4,0,"OT",0,0,0,"Hour Magazlno Ironaido Newswatch Haroâ€™s Lucy _ BaMo Una Ih/21) Chain Reaction AM In tho FamHy _ Superman H/21I Lotâ€™s Maka a Deal Rockford FHot GD B Edge of High!"
328,4,0,"OT",0,0,0,"Â® Juat Mon Slaraky and Hutch Vaifad Pnmams Partridjia Family"
329,4,0,"OT",0,0,0,"S Waltons"
330,4,0,"OT",0,0,0,"(9 Romanea Thoalor Kartoon Kamival IF/19I USA Cartoon EaproM rH/21l Tic Toe Dough ^ Happy Days Again X AH In tho Family Pooptaâ€™a Court Foototopo Whatâ€™s Happoningl"
331,4,0,"OT",0,0,0,"__I (9 Dark Snadowi"
332,4,0,"OT",0,0,0,"Ih/21) Movie"
333,4,0,"OT",0,0,0,"SBomoy Millar"
334,4,0,"OT",0,0,0,"(Â£ Lovoma A Shirley 5 Co."
335,4,0,"OT",0,0,0,"fCf) Rockford FHoa Twilight Zona Nows"
336,4,0,"OT",0,0,0,"Mr. Rogoraâ€™ Naighbor-hood Q MV-3 0 Marv Griffin 0 (U Child's Play 0 Fred FUntstono/Fnenda lF/191 Variad Programa Nows"
337,4,0,"OT",0,0,0,") CD Got Smart I Entortainmonl Tonight Soaama Stroot"
338,4,0,"OT",0,0,0,"G9 Carol Burnett *"
339,4,0,"OT",0,0,0,"^ Suporfrionds ÃG/20) ESPN SporlaContor Nows"
340,4,0,"OT",0,0,0,"I Eight la Enough"
341,4,0,"OT",0,0,0,"I Utdo Houao on Iho Prakio IWMIo Shadow I One Doy at a Tima ) (9 AHco 1 Boadtehod (&20I Variad Programs â€œIdDNowa I Â»â€¢I, Contact I Joffoiaons I 09 M'A'S'H IBowilchod"
342,4,0,"OT",0,0,0,", PtL"""
343,4,0,"OT",0,0,0,"-.Â«Mdr"
344,4,0,"OT",0,0,0,"Sf"
345,4,0,"OT",0,0,0,"B Monoytkio Update B M*A*S*H"
346,4,0,"OT",0,0,0,"IQ^Ol NCAA BaskalboN:"
347,4,0,"OT",0,0,0,"Virginia at Georgia Tech lH/2t) Jack Bonny Show ll) Not NecoaaMrHy Tha News 10:00 B B (9 Cagney a Lacey iBNowo kla and Roy Mlho Douglaa Ppopio"
348,4,0,"OT",0,0,0,"B World Nows"
349,4,0,"OT",0,0,0,"ÃH/2"
350,4,0,"OT",0,0,0,"(k/21) I Marrfad Jean ll) MOVIE: â€˜The Eztorminatorâ€™ 10:30 B World Nowa"
351,4,0,"OT",0,0,0,"lEI M^IE: â€˜Gimmo Shottarâ€™ lH/2t}1My LitSo Margie"
352,4,0,"OT",0,0,0,"11:00 BBCDOCEfieoS"
353,4,0,"OT",0,0,0,"1 Saturday Mght 1 Buakioaa Roport I In Search of.Â»."
354,4,0,"OT",0,0,0,"1 Sporta Updolo I Jaffaraona _l Harry O"
355,4,0,"OT",0,0,0,"F/19I fwfL Hockay: Minna. aota at Boalon IH/21I Bacholot Father 11:30 B B (9 TmfHy Jufin M.D."
356,4,0,"OT",0,0,0,"_ it Show Focua on Society You Aakad For It Croaafira"
357,4,0,"OT",0,0,0,"MOVIE: â€˜Too Hot To Handio'"
358,4,0,"OT",0,0,0,"IG/20I ESPN SportaContor lH/211 Ufa ol ^y 11:45 III MOVIE: â€™Stooping Dogaâ€™ 12:00 O CD O Laat Word"
359,4,0,"OT",0,0,0,"Entortainmont Tonight â€˜ OH"
360,4,0,"OT",0,0,0,"'VIE: â€˜Doctor in Lovoâ€™ tS) Prime Newt 0 Love American Style lEl MOVIE: â€˜Swinging"
361,4,0,"OT",0,0,0,"ChaorFeadoiaâ€™ lH/211 700 Club"
362,4,0,"OT",0,0,0,"12:30 o (f) Lata Night with David Lottorman"
363,4,0,"OT",0,0,0,"B Tom Cotti# Up Closo 0 (12 MOVIE: â€˜Columbo: OM- Faahionod Murdorâ€™"
364,4,0,"OT",0,0,0,"0 Lovo American Stylo lG/201 ESPNâ€™s Horae Racing"
365,4,0,"OT",0,0,0,"Ã Sign I I MOVI"
366,4,0,"OT",0,0,0,"Wkly."
367,4,0,"OT",0,0,0,"12:45 0 MOVIE: â€˜Cokimtto: Old-Fishionod Murdorâ€™"
368,4,0,"OT",0,0,0,"1:00 BCD Sign Off B Gone Autry a MOVIE: â€˜Loaf Angry Manâ€™ a MOVIE: â€™Impact' lQ/201 NCAA BgakottMN: Syracuao at BoaHn Ci"
369,4,0,"OT",0,0,0,"banco"
370,4,0,"OT",0,0,0,"a (9 CBS Nowa"
371,4,0,"OT",0,0,0,"IE) IMVIE: â€˜The Con Artiataâ€™ It) AM Summar ki A Day 7:00 B CBS Nowa"
372,4,0,"OT",0,0,0,") B Throaâ€™a Company _) Entortainmont Tonight Happy Oaya Again"
373,4,0,"OT",0,0,0,"' B0W fWWV"
374,4,0,"OT",0,0,0,"Buotnoaa Roport Soap"
375,4,0,"OT",0,0,0,"Frooman Raparla (9 WKRP in Cincinnati _ Jokarâ€™a WHd lF/19) NBA Baakatball: DaNaa at Goldon State III Making Lavo Bottof 7:30 BZonOwTown ) Bomoy MMior J You Aakad For H Lavacno A Shirloy A Co. Eye on LJL MocNoH Lohror Roport MadomAâ€™a Placo WKRP in Cincinnoti (9 M'A'S'H Tic Toc Dough Hiatory of Pro FootbaM S:00 B 0 (9 Won Oianoy a CDJP Happy Doya O CD Ralutn of Iho Dohormon Gang â€œ MOVIE: â€˜Paychoâ€™"
376,4,0,"OT",0,0,0,"Nova"
377,4,0,"OT",0,0,0,"MOVIE: -Barracudaâ€™ Sporta Tonight (PM Magazmo"
378,4,0,"OT",0,0,0,"MOVIE: -Moaoa' m MOVIE; â€˜Tha CannonbaH Runâ€™"
379,4,0,"OT",0,0,0,"lG/201 ESPN SportaCantar"
380,4,0,"OT",0,0,0,"Â§tX) B Lavpmo A Shirloy Croaaliro"
381,4,0,"OT",0,0,0,"Juicing tha Orange IG/20I NCAA Baakatball: Nebraaka at Iowa State lH'2il Anotbor Lite"
382,4,0,"OT",0,0,0,"Â§0 (12 MOVIE: â€™Muaionaâ€™ CD O Threoâ€™a Company Cf) HIM Stroot Bkioa American Playhouaa"
383,4,0,"OT",0,0,0,"8 Nowa M'A'S'H"
384,4,0,"OT",0,0,0,"lH/211 Buma A Allan III MOVIE: â€˜Uorâ€™a Moonâ€™"
385,4,0,"OT",0,0,0,"S;30 a CD a 9 to 5"
386,4,0,"OT",0,0,0,8:30
387,4,0,"OT",0,0,0,9:00
388,4,0,"OT",0,0,0,"10:001"
389,4,0,"OT",0,0,0,"lF/19) Hot Spola lH/2^1 Jock Bonny Show"
390,4,0,"OT",0,0,0,"I Hart to Hart"
391,4,0,"OT",0,0,0,1:30
392,4,0,"OT",0,0,0,1:45
393,4,0,"OT",0,0,0,2:00
394,4,0,"OT",0,0,0,"I CoHogo"
395,4,0,"OT",0,0,0,"*aC"
396,4,0,"OT",0,0,0,"> Autry"
397,4,0,"OT",0,0,0,"So You Got TrouWoa (H/2tl I III MOVIE; â– HoM'Night' lEl MOVIE: â€˜A Ptoce of ttt ActiOfiâ€™"
398,4,0,"OT",0,0,0,"I CBS Nowa Nightwatch"
399,4,0,"OT",0,0,0,"n Odf"
400,4,0,"OT",0,0,0,"iMONDWl"
401,4,0,"OT",0,0,0,1/17/1983
402,4,0,"OT",0,0,0,"Ã¨TEiBSS"
403,4,0,"OT",0,0,0,6:00
404,4,0,"OT",0,0,0,"6;3B"
405,4,0,"OT",0,0,0,"I l 3 J BDW 9WWV"
406,4,0,"OT",0,0,0,"I Charfio'a Angola I Over Earn I Eight la Enough I Thm'a Company â€¢waH Fhro-O Ie] MOVIE: â€™Juliaâ€™ lH/211 BotHo for ttw FamUy ~ TMowa"
407,4,0,"OT",0,0,0,"D NBC Nowa ck Cavan"
408,4,0,"OT",0,0,0,"iStodamaâ€™a Place"
409,4,0,"OT",0,0,0,"WKflP in Cincinnali (9 M'A'S'H Tic Toe Dough 19) NHL Journal III Fmagla Rock"
410,4,0,"OT",0,0,0,"MÂ»0 B B (9 ChorMo Brown"
411,4,0,"OT",0,0,0,"I Thotâ€™a IncrodiMo 0 Houao; A Naw"
412,4,0,"OT",0,0,0,"â€˜Notoilouaâ€™"
413,4,0,"OT",0,0,0,"Doughw Poopio"
414,4,0,"OT",0,0,0,"B World Nowa"
415,4,0,"OT",0,0,0,"lil MOVIE: â€˜The Turning"
416,4,0,"OT",0,0,0,"^ â€”wa"
417,4,0,"OT",0,0,0,"rvWn"
418,4,0,"OT",0,0,0,"Ih/21I I Morriad Jeon 10:30 B World Nowa lF/191 NHL Journal lG/201 TMa Weak In iho NBA ÃŒH/21) My Lilllo Morgla 11:00 B B Cl) a CÂ£ B â– "
419,4,0,"OT",0,0,0,"1(9'"
420,4,0,"OT",0,0,0,"I HMon I Sparta Timight IPMMagazina"
421,4,0,"OT",0,0,0,2:30
422,4,0,"OT",0,0,0,3:00
423,4,0,"OT",0,0,0,3:15
424,4,0,"OT",0,0,0,3:30
425,4,0,"OT",0,0,0,4:00
426,4,0,"OT",0,0,0,"lF/191 NCAA BaakatboH; LouiavMla at Tutano lQ/20) Prog conYd"
427,4,0,"OT",0,0,0,"SCDBB^nOff Nowo/SIgn cm MonoyNno lH/211 Anothor Lifo"
428,4,0,"OT",0,0,0,"0 Daybreak"
429,4,0,"OT",0,0,0,"lQ/2"
430,4,0,"OT",0,0,0,"(9 CBS Nowa ITT Year That Waa;"
431,4,0,"OT",0,0,0,1902
432,4,0,"OT",0,0,0,7:00
433,4,0,"OT",0,0,0,7:30
434,4,0,"OT",0,0,0,"8 CBS Nowa"
435,4,0,"OT",0,0,0,"CD B Thraaâ€™a Company I (!) Entortainmont Tonight ^t^ Doya Again"
436,4,0,"OT",0,0,0,"I BVwV"
437,4,0,"OT",0,0,0,"I Buakwaa Roport I Soap"
438,4,0,"OT",0,0,0,"I Frooman Roporta I (9 WKRP In Cincinnati _l Jokorâ€™a WHd lG/201 .^NCAA BoakoliiaN: 10 at Beaton CoHogo Mozico: Tho Criaia"
439,4,0,"OT",0,0,0,"9dM"
440,4,0,"OT",0,0,0,"You Aakad FoÃ© R Lovoma A SNrtoy A Co. Eye on LA."
441,4,0,"OT",0,0,0,"BwcNoH Lohror Report"
442,4,0,"OT",0,0,0,"I MOVIE; '12 Angry Monâ€™ li) MOVIE: -Thia Spet^ Ufaâ€™"
443,4,0,"OT",0,0,0,"iF/lOl Hot Spota hi MOVIE: â€˜The Man Who Bow Tomorrowâ€™"
444,4,0,"OT",0,0,0,"H.-30 B B B Filthy Rich B Creoafiro B Juicing ttw OratiS*"
445,4,0,"OT",0,0,0,"IH/211 Anothor LJfo a a (9 M'A'S'H B 9) B American Muaic Awofda"
446,4,0,"OT",0,0,0,"0 CD MOVIE; â€™WaM TNI Your Mother Gala Homoâ€™ a Groat Porformancoa a For Lovo of the ChNd BNowo BHoaRhBoot IF/IHI NCAA BaakotboH: LeuiavIHa at Tulana lQ/201 ESPN SportaCantar lH/2tl Buma A AHan 9:30 B B (9 Nowharl"
447,4,0,"OT",0,0,0,"lQ/201 FIS World Cup Skiing lH/2ll Romper Room ill MOVIE: 'Four Friondaâ€™ Ih/211 Jimmy Swaggart lEl MOVIE: â€˜Whoa# Llfa la it Anywayâ€™"
448,4,0,"OT",0,0,0,"lF/19) AMve A WaW 10/201 ESPN SportaCantar lH/211 MOVIE: â€˜Uat of ttw"
449,4,0,"OT",0,0,0,0.6673611111
450,4,0,"OT",0,0,0,"jTUglWl"
451,4,0,"OT",0,0,0,1/18/1983
452,4,0,"OT",0,0,0,"g^gWiftS"
453,4,0,"OT",0,0,0,"12:001"
454,4,0,"OT",0,0,0,"B Saturday Night a Buakioaa Hapert"
455,4,0,"OT",0,0,0,"Q h* Search of___"
456,4,0,"OT",0,0,0,"a Sporta Updata B Jaffaraona B Harry O lF/191 Sporto Probo IG/20I Futuro Sport lH/2tl Sacfwtor Fattwr III MOVIE: â€™OaWpoNâ€™"
457,4,0,"OT",0,0,0,"B (9 Oukwy I X B Nightlliw I X Tonight Show Art of Bokig Human You Aakad For H Croaafira"
458,4,0,"OT",0,0,0,"_ MOVIE; *Moaouorodoâ€™ F/10I NBA ItaakelbaH; DoHaa at Ooldon Stato I0/20I ESPN SportaContor l^/2Ll Ufo of may"
459,4,0,"OT",0,0,0,"6:00 BOCCBB(9Nowe"
460,4,0,"OT",0,0,0,"kM --"
461,4,0,"OT",0,0,0,"WU IVVWV"
462,4,0,"OT",0,0,0,"a'a Angola -I Over Eoay I Eighi la Enough w*e Company roN Fiva-O"
463,4,0,"OT",0,0,0,"ÃŽÃ”/20I NCAA BmholhoH; Alohoma of Tanrwaaaa lH/21) BoWa 1er Iho FamHy"
464,0,0,"B",0,0,0,
465,4,0,"OT",0,0,0,"I NBC Nowa I Dick CavoM"
466,4,0,"OT",0,0,0,"I Sign ON"
467,4,0,"OT",0,0,0,"I MOI"
468,4,0,"OT",0,0,0,"_ Loaf Word"
469,4,0,"OT",0,0,0,".fiiBttiaivwfiVffs lom^ni"
470,4,0,"OT",0,0,0,"AO"
471,4,0,"OT",0,0,0,"i"
472,4,0,"OT",0,0,0,"(VIE: â€˜A"
473,4,0,"OT",0,0,0,"Lavo Amoricon Stylo"
474,4,0,"OT",0,0,0,"A;30"
475,4,0,"OT",0,0,0,"E) Scroonkig Room lH/2tl TttO C3ub 12:30 O d) Late Night wWi David Loftermon"
476,4,0,"OT",0,0,0,"Â«Tom ColHo Up Ctooo (9 MOVIE: â€™McMWan S WHo; Reunion in Terror'"
477,4,0,"OT",0,0,0,"B Lavo Amorican Stola lil MOVIE: â€˜Leva For Reni' lG/201 NCAA Alabama at Tonnoaaoo"
478,4,0,"OT",0,0,0,"MwtoNBDMy Monday. Jaiwaiy 17. IMS"
479,4,0,"OT",0,0,0,0.1041666667
480,4,0,"OT",0,0,0,"IMOVK:â€˜fmbMSvâ€™ I MOVK:'TwittlMf"
481,4,0,"OT",0,0,0,"AO**â€™"
482,4,0,"OT",0,0,0,"(UMOV"
483,4,0,"OT",0,0,0,"3VK: â€˜Liarâ€™s Mooiv' 4:15 â€¢ MOVK: â€˜Highway 13â€™"
484,4,0,"OT",0,0,0,"WEDNESCWi"
485,4,0,"OT",0,0,0,1/19/1983
486,4,0,"OT",0,0,0,"ivtyw"
487,4,0,"OT",0,0,0,"IKÂ»"
488,4,0,"OT",0,0,0,"Â¡828Ã„Ã„Â®'"
489,4,0,"OT",0,0,0,"I OtarHaâ€™s Angais"
490,4,0,"OT",0,0,0,1:30
491,4,0,"OT",0,0,0,700
492,4,0,"OT",0,0,0,0.3541666667
493,4,0,"OT",0,0,0,0:00
494,4,0,"OT",0,0,0,0:30
495,4,0,"OT",0,0,0,0:00
496,4,0,"OT",0,0,0,"SCroaalita"
497,4,0,"OT",0,0,0,">"
498,4,0,"OT",0,0,0,"MMOVKiThal"
499,4,0,"OT",0,0,0,"loJa"
500,4,0,"OT",0,0,0,"1300 a MOVÂ«: â€¢MeMMaa a WMoc"
501,4,0,"OT",0,0,0,"hi MOVÂ«: 1(100 igaad*"
502,4,0,"OT",0,0,0,"1M MS Man ON"
503,4,0,"OT",0,0,0,"ihomE â€™<"
504,4,0,"OT",0,0,0,"ra^iiaaNt"
505,4,0,"OT",0,0,0,"^IlLNoofU.,"
506,4,0,"OT",0,0,0,"lwâ€¢Â¡a1Å“srÃ®s^tt:"
507,4,0,"OT",0,0,0,13001
508,4,0,"OT",0,0,0,"^NBC Mows OvatnigM"
509,4,0,"OT",0,0,0,"I Oo You dot TiouMoa (h/211 Ross Bagioy 200 Ãœ cat Nows NIgUsatch"
510,5,0,"OT",0,0,0,"SSSTÃ‘aws"
511,5,0,"OT",0,0,0,"â€¢ (9 Sign OH (F/lil NCAA BaskatbsH: Providanca at St Johnâ€™s (G/201 Prog contâ€™d 2:15 (El MOVK: â€™Magic'"
512,5,0,"OT",0,0,0,"2:30 OCSMMgnOn la^ott"
513,5,0,"OT",0,0,0,"*â€™Blondia Plays"
514,5,0,"OT",0,0,0,"(0/20) Australian Rulas roothali (H/211 Anolhar Ufa hi MOVK: Tho Fanâ€™"
515,5,0,"OT",0,0,0,"2:45 MNows 300 â–  MOVIE:"
516,5,0,"OT",0,0,0,"Donâ€™t Lioâ€™"
517,5,0,"OT",0,0,0,"^lOH"
518,5,0,"OT",0,0,0,"MOVK:"
519,5,0,"OT",0,0,0,"I Tonight"
520,5,0,"OT",0,0,0,"Ã Tom CotOo Up Cloaa MOVIE: â€™Pmmonilionâ€™"
521,5,0,"OT",0,0,0,1:30
522,5,0,"OT",0,0,0,200
523,5,0,"OT",0,0,0,"(H/211 Rompor Room 3:90 (H/211 Jimmy Ss/aggart 400 â€¢ MOVIE: â€˜Blondia Ooas Latinâ€™"
524,5,0,"OT",0,0,0,"(El MOVIE: â€˜Tho CannonbaN Runâ€™"
525,5,0,"OT",0,0,0,"(F/ISl ANvo a WaW (0/201 ESPN SportoCantar (H/211 MOVK: Jorpodo"
526,5,0,"OT",0,0,0,"I Ovar Easy I Eight Is Enough s's Company MFIva-O Ih/21I BatSs lor tho FamHy INows INBCNows Dh CavoÂ« lea"
527,5,0,"OT",0,0,0,"1(9 CBS Nows"
528,5,0,"OT",0,0,0,"r VMoo Juhohos ICBSNows"
529,5,0,"OT",0,0,0,"_) Thraaâ€™s Company"
530,5,0,"OT",0,0,0,"\ ^--* â€”s-A"
531,5,0,"OT",0,0,0,"r Days Again"
532,5,0,"OT",0,0,0,"I Â® V7KRP In Cincinnati I dollar's WSd"
533,5,0,"OT",0,0,0,"1^201 NCAA Baokothaa: North Carolina Stata at North"
534,5,0,"OT",0,0,0,"WvimM"
535,5,0,"OT",0,0,0,"III MOVIE: â€˜Tha Magic ol Lassio'"
536,5,0,"OT",0,0,0,"12 on tho ToÂ«m"
537,5,0,"OT",0,0,0,"I lyNii^c"
538,5,0,"OT",0,0,0,"I You Askad For It I Lavoma S Shirlay A Co."
539,5,0,"OT",0,0,0,"I Eyo on L.A."
540,5,0,"OT",0,0,0,"I MacNaH Lahror Raport I Madama's Placa I VYKRP in Cincinnati '9 M*A*S'H Tie Tac Dough n (9 Anna Murrayâ€™s san Cruisa O CD â€¢ Talas of tha OoM Monkay"
541,5,0,"OT",0,0,0,"O (X) Raal Poopia g MOVK: â€˜Tom Curtain'"
542,5,0,"OT",0,0,0,"O Skating Spactacular O NCAA BaskatbaN: Long Baach St. at Navada Los Vagas"
543,5,0,"OT",0,0,0,"f Sports Tonight PM Magasino MOVK: â€˜Mosasâ€™ Part 2 MOVIE; 'Daad Endâ€™"
544,5,0,"OT",0,0,0,"tOKNM"
545,5,0,"OT",0,0,0,"lH/211 ."
546,5,0,"OT",0,0,0,"I bi Saarch at.."
547,5,0,"OT",0,0,0,"10:90 m World Nows"
548,5,0,"OT",0,0,0,"(H/211 MÂ« Lima Mania 11:00 MMGt) MCEÂ» Nows"
549,5,0,"OT",0,0,0,"|!"
550,5,0,"OT",0,0,0,"â–  Horry O"
551,5,0,"OT",0,0,0,"(H/211 Bachalor Faihor 11:30 â– â–  9 Hart to Hart"
552,5,0,"OT",0,0,0,"â– ft MUarfaBtiaa^ IMglfwIfW"
553,5,0,"OT",0,0,0,"__ I wnyiii Â«now"
554,5,0,"OT",0,0,0,"I Facua on Sodaly I You Aakod For It I Crossllro"
555,5,0,"OT",0,0,0,1/20/1983
556,5,0,"OT",0,0,0,"tvgMwa"
557,5,0,"OT",0,0,0,"SM"
558,5,0,"OT",0,0,0,0.2708333333
559,5,0,"OT",0,0,0,7:00
560,5,0,"OT",0,0,0,7:30
561,5,0,"OT",0,0,0,5:00
562,5,0,"OT",0,0,0,"_i Juicing tha Oranga lF/191 SpoM Look (H/211 Anothar Ufa O â€¢ (9 MOVK: 'Anothar Womanâ€™s ChM'"
563,5,0,"OT",0,0,0,"OFakOuy"
564,5,0,"OT",0,0,0,"__I Facts ol Lda"
565,5,0,"OT",0,0,0,"I Kannady Cantor Tonight"
566,5,0,"OT",0,0,0,"_l M*A'8*H lF/191 Sports Proba lG/201 ESPN SportsContar lH/211 Bums I Allan III HBO Rock: Air Supply In Hawaii"
567,5,0,"OT",0,0,0,"0:30 O CE Family Tias"
568,5,0,"OT",0,0,0,"I Updata"
569,5,0,"OT",0,0,0,"Piaca ol lha"
570,5,0,"OT",0,0,0,"Actionâ€™"
571,5,0,"OT",0,0,0,"lF/191 NHL Arm WrostHng lG/201 NCAA Basketball: latnols at Purdua"
572,5,0,"OT",0,0,0,"I Oiarlio's Angais I Ovar Easy I Eight Is Enough I Thraaâ€™s Cornpany J Hawaii FIva-O H/211 Battio lor lha Family ~ (1) Naurs XnBCNows Oick Cavati ANCO"
573,5,0,"OT",0,0,0,"(9 CBS Nows Yaar That Was: 1902 CBS Haws"
574,5,0,"OT",0,0,0,"IE â–  Thraoâ€™s Company (E Entartainmant TonighI"
575,5,0,"OT",0,0,0,"lastÃ³r**"""
576,5,0,"OT",0,0,0,"Buskiass Raport Soap"
577,5,0,"OT",0,0,0,"Fraaman Raports (9 WKRP in Cincinnali Jokarâ€™s Wild"
578,5,0,"OT",0,0,0,"2 on lha Toam E Bamoy Millar E You Aakad F<k It Lavama A Shirlay A Co."
579,5,0,"OT",0,0,0,"I Eya on l_A. i MacNail-Lahror Raport I Madamaâ€™s Placa WKRP In Cincinnati"
580,5,0,"OT",0,0,0,"03 M*A*S*H i Tic Tac Dough MOVK; â€˜MoatbaOsâ€™"
581,5,0,"OT",0,0,0,"III msida tha NFL"
582,5,0,"OT",0,0,0,"â–  Simon A SUmm"
583,5,0,"OT",0,0,0,"â–  E â–  Qraaiast Amarican"
584,5,0,"OT",0,0,0,"(E Fama"
585,5,0,"OT",0,0,0,"NCAA Baskalba*: U.C.L. at CaWomia Snaak Pravlaws MOVK: â€™FiUwWyâ€™"
586,5,0,"OT",0,0,0,9
587,5,0,"OT",0,0,0,0:30
588,5,0,"OT",0,0,0,9:00
589,5,0,"OT",0,0,0,"ipoynasty ) Quinev ipiilows"
590,5,0,"OT",0,0,0,"Constltution; Thal rÃ­a Batanes"
591,5,0,"OT",0,0,0,"â–  Mika Douglas Paopla Now"
592,5,0,"OT",0,0,0,"â–  World Nows"
593,5,0,"OT",0,0,0,"lF/191 NCAA BaskatbaO DouMshssdsr lona va. Arltotw Blata and/ VWanova"
594,5,0,"OT",0,0,0,"w> â– â– iivn fiwi"
595,5,0,"OT",0,0,0,"lH/2il I Maulad Joan (ll MOVK; â€™Naighhers'"
596,5,0,"OT",0,0,0,9:30
597,5,0,"OT",0,0,0,"10HW"
598,5,0,"OT",0,0,0,"(9"
599,5,0,"OT",0,0,0,1.0840277778
600,5,0,"OT",0,0,0,"ÃSahaday Nighl"
601,5,0,"OT",0,0,0,"(aiaarÃ¢ioT:"
602,5,0,"OT",0,0,0,"Ã­ssar'"
603,5,0,"OT",0,0,0,"2*!nSa^aler FaÂ«"
604,5,0,"OT",0,0,0,"SPilmaNawA"
605,5,0,"OT",0,0,0,"Lovo Amarican Blyla 211 700 Chib"
606,5,0,"OT",0,0,0,"(ll MOVIE; 'Fort Apacha. lha"
607,5,0,"OT",0,0,0,"DTOflB*"
608,5,0,"OT",0,0,0,"12:30 O CD LatÂ« Night with Oavid Laltarman"
609,5,0,"OT",0,0,0,"i ol Bahia Human Lakod Far It"
610,5,0,"OT",0,0,0,"â–  1"
611,5,0,"OT",0,0,0,"â€¢ __________________"
612,5,0,"OT",0,0,0,"â–  Lava Amarican Stylo m/20l NCAA BaskatbaN; North Carolina Slata at North Carolina"
613,5,0,"OT",0,0,0,"9 **Â°''*= â€˜Piamonlllonâ€™"
614,5,0,"OT",0,0,0,"1:00 â– CESignON"
615,5,0,"OT",0,0,0,"MOVlf; 'Hangad Manâ€™ MOVIE; â€˜ThalAdMaslarsâ€™ MOVIE: 'War E NBC Nows OvamighI So You Oat TrouWos ,lEl MOVK: â€¢Loaao Shoosâ€™ (H/211 Ross Bagioy"
616,5,0,"OT",0,0,0,"â–  CBS Nows NIghtwalch"
617,5,0,"OT",0,0,0,"â–  SwiNaws"
618,5,0,"OT",0,0,0,"â–  (9SteON"
619,5,0,"OT",0,0,0,"MOVIE: BatOo Of Thi"
620,5,0,"OT",0,0,0,"lG/201 Prog cant'd 2:15 (ilMOVK;^HandlawilhCaroâ€™ 2:90 OCEaSignOH"
621,5,0,"OT",0,0,0,"â–  Naws/SignOH m MonayHna"
622,5,0,"OT",0,0,0,"â€¢ MOVIE; 'UMa Miss Bfosdwsy*"
623,5,0,"OT",0,0,0,"(Q/201 E^â€™s SporUfonim (H/211 Anothar Ufa 2:46 (El MOVK: 'Sha's 19 and Ndttdv*"
624,5,0,"OT",0,0,0,"3HM aMOVlE; Tha Baron ol Arlsorwâ€™"
625,5,0,"OT",0,0,0,"â–  Oaybroak"
626,5,0,"OT",0,0,0,"(q/201 Vic's Vacant Lot IH/21I Roimior Room 3:90 lG/201 Bki School"
627,5,0,"OT",0,0,0,"(H/211 Jimmy Swaggart 3:45 III MOVK:â€™Natghbwr 4:00 â–  MOVK;'Mark ol Zorroâ€™ (F/191 ANva A WoW lG/201 ESPN SporlaCanlar (H/211 MOVK: 'Tha tanator Was Indlscraatâ€™"
628,0,0,"B",0,0,0,
629,5,0,"OT",0,0,0,"lYau Askod ) Crossllro -I MOVIE; 'Altar lha Faxâ€™ (El MOVIE: 'Tho Chant ol Jknmia Blackamithâ€™ lG/201 ESPN SportsContar (H/211 LHa ol RHay 11:45 III MOVIE; â€˜Convoyâ€™"
630,5,0,"OT",0,0,0,"12:00 8 GE) â–  Last Word"
631,5,0,"OT",0,0,0,"I Entartainmant Tonight"
632,5,0,"OT",0,0,0,"I Sign cm I MO'"
633,5,0,"OT",0,0,0,"IVIE: 'Oaath Ol A"
634,5,0,"OT",0,0,0,"_l Laiw /tmarican Stylo (H/211 700 Chib 12:90 0 QD (^ Night with David LÂ«tlorman"
