"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
34,1,1,"TXT",7,0,0,"Bonner said there are many misconceptions regarding the Sandinista and Contra armies Stories of 100,000 Nicaraguan soldiers are false Bonner said. There are 40,000, which is 10,000 less than that of El Salvador."
35,1,1,"TXT",7,0,0,"Other inaccuracies Bonner said, include the quality of weapons the Sandinistas are receiving,"
36,1,1,"TXT",8,0,0,"""Tanks we're hearing about can't even make it up a small grade,"" Bonner said. ""And the Nicaraguan air force is a threat — to anyone that has to fly in their planes."""
37,1,1,"TXT",9,0,0,"In addition to the threat of Communism, Bonner said the United States is supporting El Salvador because America is told that Nicaragua is a totalitarian dungeon. Secretary of State George Shultz said the country was behind the iron curtain. Bonner posed the question, ""In what iron curtain country is there a newspaper that is vicious against the Sandinista government?"""
38,1,1,"TXT",10,0,0,"""Soviet entrepreneurs would salivate at the opportunities in Nicaragua,"" Bonner said. ""That's not to say Nicaragua is a democracy."" Bonner feels the question is not what type of"
39,1,1,"BQT",0,0,0,"‘Our policy in Central America is illegal, inconsistent and ill-advised. In Central America we stand naked and ashamed before the nations of the world.’ Raymond Bonner"
40,1,1,"TXT",10,0,0,"government a country has. but what right does the United States have to overthrow a political policy that does not agree with its own."
41,1,1,"TXT",11,0,0,"Bonner said the best statement regarding U.S. foreign policy in El Salvador came from an P-piscopal bishop, who said, ""Our policy in Central America is illegal. inconsistent and ill-advised. In Central America we stand naked and ashamed before the nations of the world."""
42,1,3,"HL",0,0,0,"ASI presidential candidates assess the Foundation"
43,1,3,"BL",0,0,0,"By GREGG SCHROEDER"
44,1,3,"BL",0,0,0,"sue Wrttar"
45,1,3,"TXT",1,0,0,"Greater student"
46,1,3,"TXT",1,0,0,"understanding of the Cal Poly Foundation and a stronger student voice in the distribution of its surplus funds are among the goals of the three ASI presidential candidates."
47,1,3,"TXT",2,0,0,"Candidate John Carroll, a speech communication major, said that students don't know enough about the Foundation."
48,1,3,"TXT",3,0,0,"Carroll. 21, cited studying the Foundation's profit and loss statements as his first priority in regard to the cor pornt inn"
49,1,3,"TXT",4,0,0,"""!t '•< ne<'fs>^.iu \ t” find uu' how. ! '.■■h : cih> •.        ; .”c   :..i\ •'"
50,1,3,"TXT",4,0,0,".■      •       ' kt’ “ I ',111 ’ :"
51,1,3,"TXT",4,0,0,"d like ■■       ■ re I I,."
52,1,3,"TXT",4,0,0,"niDhei, c.i' >o ' li'r cluiiinel.s"
53,1,3,"TXT",4,0,0,"than just what President Baker wants."""
54,1,3,"TXT",5,0,0,"Candidate Steve Dunton, a 22-year-old electronic engineering major and currently a student senator, said"
55,0,0,"NA",0,0,0,". .. w 'J"
56,0,0,"B",0,0,0,
57,0,0,"NA",0,0,0,"\"
58,1,3,"TXT",5,0,0,"that despite the fact that students deal with the Foundation daily through such operations as food services and F.l Corral Book.store. there IS little student understanding of the 'forkings ot t he non |irot't i-.ir p'l.ation that, in add'ti''n t -•pri . iditig , ainpu.'- --e'\ n *•.. also raises lutiils for the iiiii"
59,1,3,"TXT",5,0,0,"versity through donations and investments. Students have little control over Foundation, Dunton said, because there is only one student member on the nine-member board of directors."
60,1,3,"TXT",6,0,0,"“One voice in nine isn't a whole lot,"" Dunton said."
61,1,3,"TXT",7,0,0,"The student representative, currently business administration major Lori Dematteis, is nominated by the deans of the different schools and then selected by President Warren Baker. Dunton said"
62,1,3,"TXT",8,0,0,"President Baker said he is w riling to I'tiange this (selec-' !■ I' I'1 IS-""' lui '■ d It I."" s ,p , .r :lie St ud* It"
63,1,3,"TXT",8,0,0,"■>. . ;H ' I < u In I . '       ■ ■ 'd add. I ,g"
64,1,3,"TXT",8,0,0,"I ti.'it hr f ml (■ H I esolution"
65,1,3,"TXT",8,0,0,"that was passed in March urging Baker to change the selection guidelines."
66,1,3,"TXT",9,0,0,"Dunton, who said he feels there should be more students on the board, added he would like to see the student body have a voice in the allocation of the monies the Foundation takes in. He estimated that two-thirds of these funds are generated from students who patronize the Foundation-run Campus services."
67,1,3,"TXT",10,0,0,"""It's our money,” Dunton said. ""I think we should have some say as to where that money grx's"
68,1,3,"TXT",10,0,0,"Current Iv Baker makt«. recominerulH11('I'-i a« to Ik'A the ex.e'.'- funds will he -•peiU. Dunton .--uid. -Xl .iaii .lose .'■¡tale Urmersitv, the"
69,1,3,"TXT",11,0,0,"surplus goes into an “unallocated reserve, "" and campus groups make requests as to how the money will be spent. Students make the final decision at the ballot box, Dunton said."
70,1,3,"TXT",12,0,0,"“Students voted to pay for their recreation facility "" at San Jose State, he said, and at California State University, Chico ""students have control of the whole operation.”"
71,1,3,"TXT",13,0,0,"Dunton said he would like the Foundation to be more accountable to students."
72,1,3,"TXT",14,0,0,"""The Foundation does a lot of good things, but that doesn't mean we have to overlook other things or not ask ()uesti""n«,"" I )unt on said"
73,1,3,"ME",0,"CANDIDATES, page 3",0,"Please see CANDIDATES, page 3"
74,0,0,"B",0,0,0,
75,2,0,"PI",0,0,0,"Page 2"
76,2,0,"PI",0,0,0,"Mustang Dally Monday, AprIMs, iggj"
77,2,0,"HL",0,0,0,"Is graduation for the students?"
78,2,4,"TXT",1,0,0,"'I'he iron fist of President Warren J. Baker strikes again. This time he is using it on students."
79,2,4,"TXT",2,0,0,"It seems if Baker doesn’t like the way someone does something — no matter who it is — big changes are soon to follow."
80,2,4,"TXT",3,0,0,"Now it’s one of the duties the ASl president — the person elected to represent students — that Baker has decided to cut into."
81,2,4,"TXT",4,0,0,"It has been a tradition that the ASI president speak at graduation — it was one of the rights that went along with the job. But Baker apparently didn’t like the speech of Jeff Sanders, last year’s ASI president."
82,2,4,"TXT",5,0,0,"So Baker decided an ASI president would not speak at graduation again. He made his decision without talking to the students. (He says it was recommended by the Commencement Committee, but no record of that exists.)"
83,2,4,"TXT",6,0,0,"Last summer Baker sent a memo to current ASI president Kevin Creighton stating the right of the ASI president to speak at graduation would be taken away. Instead, a student would be chosen based on a academic criteria he outlined in the memo."
84,2,4,"TXT",7,0,0,"Who is graduation for: students and parents or Baker and friends?"
85,2,4,"TXT",8,0,0,"Baker didn’t need the ASI President to “resign” his elected right, since it was only a Cal Poly tradition. It was just taken away."
86,2,4,"TXT",9,0,0,"Yes, graduation does expose the university to the community, but that doesn’t take away that graduation is mainly for students. If Baker wants a graduating student with a good academic record to speak, add one to the program."
87,2,4,"TXT",10,0,0,"Yes, graduation is long, but a much higher percentage of the ceremony is taken up by non-students speaking than students."
88,2,4,"TXT",11,0,0,"The representatives from various school councils have suggested the ASI president speak if that person is graduating."
89,2,4,"TXT",12,0,0,"The Mustang Daily Editorial Board suggests that the Student Senate respond the same way. The ASI president should be allowed to speak; it is one thing students elect him to do."
90,2,4,"TXT",13,0,0,"If Baker wants to add one of the academic winners from one of the seven schools, there is always room for another student speaker."
91,2,4,"TXT",14,0,0,"President Baker, talk to students about changes. Commencement, after all, is for us, not you."
92,2,4,"TXT",15,0,0,"We want the ASI president to speak at graduation."
93,2,5,"HL",0,0,0,"The Curry trial: a different perspective"
94,2,0,"SH",0,0,0,"Letters."
95,2,5,"TXT",1,0,0,"On Tuesday, April 9. the Mustan/i Daily published an article by Janet Altieri, who was introduced in an editor's note as a ffuest opinion writer. Altieri's article concerned the pending trial of Kenneth Curry, or more specifically some of the actions which have been taken regarding Curry s case as he awaits trial for the 1984 murders of Cal Poly students Viola Ada and Steven Braun."
96,2,5,"TXT",2,0,0,"That the Mustann Daily encourages opinion from outside the campus community is commendable and it is clearly"
97,2,5,"TXT",4,0,0,"attorney representing the Telegram-Tribune. The District Attorney argued that, because of the highly sensational nature of this case in this community, pre-trial publicity would make it difficult to impanel an unbiased and impartial jury. By presenting this argument the District Attorney was not only trying to protect his case, he was arguing to protect the Sixth Amendment rights of the defendant to “a speedy and public trial by an impartial jury of the State and district wherein the crime shall have been committed.”"
98,2,5,"SH",0,0,0,"Reader Viewpoint"
99,2,5,"TXT",2,0,0,"understood that when such writings appear they do not necessarily reflect the opinions of the editorial staff. The Mustang Daily should, however, take the responsibility to assure that the writings which are presented to its readers, even those published as opinion, are at least factually correct. There were some very misleading factual errors in .Altieri's article which need to be corrected."
100,2,5,"TXT",3,0,0,"■Altieri wrote that the files in the Curry case were ""ordered sealed by the District Attorney despite complaints that no com-[lelling reason had lieen given to,., justify the action ' The District Attorney does not have the authority to seal files which are public record in this case or any case; such action can only lie taken by the Court. The files in the Curry case were ordered sealeckby Municipal Court Judge Donald Umhoffer in an op>en court proceeding at the request of t he District Attorney s office."
101,2,5,"TXT",4,0,0,"Also in court that day was an"
102,2,5,"TXT",5,0,0,"The attorney for the Telegram-Tribune in turn argued that pre-trial publicity did not necessarily threaten the Court’s ability to impanel an impartial jury, that a remedy through a change of venue would exist if it was later determined to be impossible to impanel an impartial jury, and that the public’s right to know the facts in this case outweighed the District Attorney's concerns about publicity Judge Umhoffer found in favor of the District Attorney and ordered sealed all records in the Curry case which had not already iHHm made public. THe Court's order will remain in effect only until Curry is actually brought to trial, at which time the records will l>e opened and the public and the press will have access to them."
103,2,5,"TXT",6,0,0,"In cases such as this, the Court must determine if the dangers inherent in prior restraint of the press are outweighed by a clear and present danger threatening some greater right. Judge"
104,2,5,"TXT",6,0,0,"Umhoffer apparently decided that Curry 's rights to a fair trial, conducted locally, were of greater importance than the public's right to have access to information about the case before the start of the trial. It must be understood that Judge Umhoffer’s action did not prohibit access to the records by Curry or his attorney. The defendant's access to the prosecution's records is assured by the right of discovery. In San Luis Obipso County the discovery process is automatic and a copy of the case records is presented to every defendant during the initial stages of the pre-trial procedures."
105,2,5,"TXT",7,0,0,"Altieri wrote that “both the suspect's Sixth Amendment rights and the First Amendment rights of the press have been compromised.” This is clearly not the case. The First Amendment prohibits passage of any law abridging the freedom of the press. Temporarily sealing the records of the Curry case was accomplished through due process of law and by and order of the Court. The decision has not been appealed. The records of subsequent pre-trial proceedings, such as the preliminary hearing, have also been ordered sealed."
106,2,5,"TXT",8,0,0,"The same arguments were presented by the same attorneys, the same judgment was made, and that decision has not been appealed. .-\lt hough it is safe to assume that the Telegram-Tribune is not particularly happy with the Court's decisions, its editors and attorney apparently do not feel that the Court has violated the First Amendment. The Telegram-Tribune, in fact, has for the most part demonstratcni commendable restraint in accepting the spirit of the Court's"
107,2,5,"ME",0,"VIEWPOINT, Page 3",0,"Please see VIEWPOINT, Page 3"
108,2,6,"HL",0,0,0,"More parking not the answer"
109,2,6,"TXT",1,0,0,"Editor:"
110,2,6,"TXT",2,0,0,"One of the major issues that has been brought into the upcoming ASI election is the “parking problem."" I ask the students at Cal Poly: Do we have a parking problem or an automobile problem? So far, the issue has been the creation of more parking, rather than the issue of eliminating the congestion, smog and confusion of the automobile."
111,2,6,"TXT",3,0,0,"Every day 1 come to school (on my bicycle) and am inundated with far too many automobiles on campus. 1 have noticed that most of these cars contain only one person who, more likely than not, lives less than a rtiile away from campus. WHY?"
112,2,6,"TXT",4,0,0,"Creating more available parking would only encourage more people to use their cars. I say: I.et's not add more asphalt to our beautiful campus. Let's all work together to consolidate the number of cars on campus and eliminate the automobile problem"
113,2,6,"TXT",5,0,0,"There are many arguments for not building more parking: added cost to the university and students. depletion of land that could be put to other uses, not to mention the added traffic on campus. Fewer cars can be equated with less oil consumption. less smog, less congestion on campus, easier mobility for those using alternative transpor-"
114,2,6,"TXT",5,0,0,"tation (i.e. bicycles, walking, mopeds, buses), and people might get some exercise in the process"
115,2,6,"TXT",6,0,0,"I urge the candidates for ASI offices to take issue with the extension of parking on campus. Rather, be creative and push for new ideas to reduce the number of cars being driven to campus 1 have some suggestions:    , ^"
116,2,6,"TXT",7,0,0,"•Convert parking closest to the inner-core of campus into car pool parking. Sell piermits for these areas at reduced rates."
117,2,6,"TXT",8,0,0,"•Raise parking permit fees for those who live within the San Luis Obispo city limits."
118,2,6,"TXT",9,0,0,"•Conduct promotion to en courage the use of alternative modes of transportaiion: Provide free concerts for those who do not drive to school; pass our buttons to those who ride bikes or walk to sRcool and conduct raffles each month for those people for some type of prize; put flyers on cars in the campus parking lots stating the advantages of not driving to school or car pool ing."
119,2,6,"TXT",10,0,0,"•Provide rebates of .ASI fit--for those students who do n -: purchasse parking permil s"
120,2,6,"TXT",11,0,0,"1 could go on, but rny point ; that there are many allernaliM-^ to the automobile probli'in besides building more parking I charge the candidates to take a stand against additional parking Let's not pave over the beauty that sets Cal Poly apart from other campuses."
121,2,6,"BL",0,0,0,"Bob"
122,2,0,"MH",0,0,0,"Mustang Daily"
123,2,0,"MH",0,0,0,"Editorial Board"
124,2,0,"MH",0,0,0,"DISCLAIMER"
125,2,0,"MH",0,0,0,"DAILY POUCY"
126,2,0,"MH",0,0,0,"Margarita Mllla Kavin H. Fox Suaan Dathlofaan OonaM Munro MIchaal Manor John Bachman Taroaa Ng L. Joann Saromt NIahan Hovandflan Elloon Bony Printed on campus OavoOthind David Ellman NIckI Duoabofg Laura Ward Scott Baudor"
127,2,0,"MH",0,0,0,"Editor Managing Editor Asst Managing Editor Asst Managing Editor Special Sections Editor Sports Editor Photo Editor Genarat Managor Faculty Advisor Advertising Manager by Univeralty Graphic Systems General Manager Publishing Managor Asst Mgr Newspaper Production Asst Mgr Typesetting Asst Mgr Web Operations"
128,2,0,"MH",0,0,0,"Advertising materials printed herein solely tor informational purposes Such printing is not to be construed as an expressed or implied endorsement or verification ot such commercisi ventures by the Journalism Department or California Polytechnic Stale University San Luis Obispo"
129,2,0,"MH",0,0,0,"Published five times a week during the academic year except holidays and exam periods by the Joumattsm Department"
130,2,0,"MH",0,0,0,"Printed by students majoring In Graphic Communications Opiniona expressed in this paper in signed editorials and articles are the views of the writer and do not necessarily represent the opinions of the staff or the views of the'Journalism Department nor officiai opinion Unsigned editorials reflect the majority view of the Mustang Daily Editorial Board"
131,2,0,"MH",0,0,0,"Advertising rales on request $46-1144. or Mustang Daily office Graphic Arts Building. Room. 226"
132,2,0,"MH",0,0,0,"The Mustang Daily encourages reader's opinions, criticisms and comments on news stories, letters and editorials. Letters and press releases should be submitted at the Daily office in Rm. 226 of the Graphic Arts Building, or sent to: Editor, Mustang Daily, GrC 226, Cal Poly, San Luis Obispo. CA 93407 Letters should be kept as short as possible, must be double-space typed and must Include the writers' signatures and phorre numbers To ensure that they be considered for the next edItloB, letters should be submitted to the Dally office by 10 a.m. Editors reserve the right to edit letters for length and style and omit libelous statements. Letters will not be printed without the author's name. Press release should bo submitted to the Daily office at least a week before they should be run. All releases must include phone numbers and names of the people or organizations involved. In case more information is needed. Unsigned editorials reflect the viewpoint of the Mustang Daily Editorial Board."
133,3,0,"PI",0,0,0,"Mustang OaHy Monday, April IS, 1985"
134,3,0,"SH",0,0,0,"Dpinion."
135,3,0,"PI",0,0,0,"Pag*3—"
136,3,0,"PI",0,0,0,"lEWPQINT"
137,3,5,"ME",0,-2,0,"I-rom Pag* 2"
138,3,5,"TXT",10,0,0,"' locisipn and has not resorted to I )ublishing speculation in place of act."
139,3,5,"TXT",11,0,0,"Curry's Sixth Amendment ights have not been compromis-[sd but have been carefully pro-f.ected. The judicial process is proceeding at a reasonably hpeedy pace with any delays paving occurred at the request of he defense. The trial will be [jubbc and every effort has been I nade to assure that Curry is ried by an impartial jury in the [listrict where the crime was rommitted. It is Curry's right hot to have to seek a change of |Venue but to be tried locally. A hange of venue is not a remedy"
140,3,5,"TXT",11,0,0,"0       be sought casually."
141,3,5,"TXT",12,0,0,"True, as Altieri wrote, it •reates an inconvenience for at-orneys and witnesses and it is [in expensive burden for the tax-i)ayer to bear. But it also creates"
142,3,5,"TXT",12,0,0,"1       hardship for the defendant, [vhose attorney's time is taken 1 ip by travel and who is often"
143,3,5,"TXT",12,0,0,"ienied bv distance the most )asic creature comfort of having f'utsule vjsitors during in-arceration. It is important to loie that i'urry s (wn attorney not protested the District Attorneys actions to seal the ecords of this ca.se. apparently [ifereeing that it was in his lient's best interests to do so."
144,3,5,"TXT",13,0,0,"Altieri wrote that “our com-I nunity has a right to examine urther evidence to determine [vhether or not these assertions ■onstitute sufficient evidence . . . o hold one of its citizens pending [i local trial."" It is not the role of he community to make this [letermination, it is the role of^ he Court. The Court has already . ulfilled this responsibility in Jurry's case; the result of the [)reliminary hearing, when such hings are considered, was that here was sufficient evidence [iresented to justify bringing [;^urry to trial."
145,3,5,"TXT",14,0,0,"That the community has the t ight to examine the'evidence is [lot'the point in question. What rnust be considered is at what [joint the rights of the communi-y and the rights of the defen-llant are best in balance. It must |je remembered that the interests [jf'the community are. strongly ! epresented on both sides of this jjalance, for the community has a trong interest in seeing that the i lefendant receives a fair trial. If."
146,3,5,"TXT",14,0,0,"fler a fair trial, Curry is found innocent, the obvious implication fs that the actual jjerpetrator is till at large, creating a threat to he community. If. on the other [ land. Curry is found guilty but lis conviction is later overturned jjecause his trial in some way was jiot fair, he becomes a threat to he community again and an ex-1 lensive burden if he is re-tried."
147,3,5,"TXT",15,0,0,"A last factual error was com-[nitted by Altieri when she Ivrote, ""one of our citizens is be-"
148,3,5,"TXT",15,0,0,"ing incarcerated without a chance to reveal evidence that might prove him innocent.” Curry is not being denied the right to present any evidence in his behalf; he can and will present his evidence in the proper forum, his trial. By making this statement Altieri essentially confirms the argument presented by the District Attorney when he requested that the records be sealed, that if the evidence was released to the pubUc this case would be tried in the press rather than in the courtroom."
149,3,5,"TXT",16,0,0,"There are additional statements in Altieri's article which cannot be demonstrated to be in error, just as they cannot be considered fact.' They are speculation and it is proper that they be labeled as such, lest a reader be misled, Altieri wrote that there is an ""abundance of confused and vague ballistics in-, formation"" developed by testing the weapons taken from Curry. The results of the ballistics tests were included in the investigative reports which were sealed; there is at thLs tmie no way of knowing the„nature and content of those reports and certainly no way of knowing if thev are confused and vague."
150,3,5,"TXT",17,0,0,",\llieri also wrote that, in ordering that the records of the case l)e sealed, the gag is placed not on evidence that' might prejudice the public regarding the suspect's possible guilt, but rather on what might prove his potential innocence.” This is pure speculation, for none except the parties directly involved have knowledge of what is included in those reports and what they will or will not prove."
151,3,5,"TXT",18,0,0,"The conflicts between the public's right to know and a defendant's right to a fair trial or a victim's right to privacy are inherent in our system of government. They are conflicts which will not be resolved easily or quickly, although they seem always to be under consideration by our courts and legislatures. To express one's opinion about such matters, as Altieri has done and as I am doing now. is healthy, but only when that which is presented as fact is indeed factual In the physical sciences it is true that discovery and progress is built on speculation; in matters of the social sciences, however, we are neither so burdened nor so blessed with absolutes and lo speculate, especially about things which are known but simply have not been revealed to us. is irresponsible."
152,3,5,"TXT",19,0,0,"Editor's note: Patti L Wilhelm is president of the California Lau Enforcment Association of Records Supervisors, and has worked for the Cal Poly Department of Public Safety for five years. Her views do not necessarily reflect those of the Mustang Daily Editorial Board."
153,0,0,"B",0,0,0,
154,0,0,"NA",0,0,0,"‘■M"
155,0,0,"AT",0,0,1,"FREE SPINAL EXAMINATION"
156,0,0,"AT",0,0,1,"""lohciiton Chiroproc-tic Clmic Inc 'is sponsoring o spinal check up and -Sfoliosis Screening pipgrom as d~pi'iblic service Inn., service will include consultation' physicoi e>aminatio'' C'"") o report ot bndings"
157,0,0,"AT",0,0,1,"WARNING SIGNS OF SPINAL MISALIGNMENTS"
158,0,0,"B",0,0,0,
159,0,0,"AT",0,0,1,"Recurring Headaches Diuiness, llurred Vision Neck, Shoulder I Arm Poin low lock 4 Leg Pain Poin letween Shoulders"
160,0,0,"AT",0,0,1,"Numbness in Hands 4 Arms loss of Sleep Difficult Ireothing Numbness in Legs 4 Feet"
161,0,0,"B",0,0,0,
162,0,0,"AT",0,0,1,"If you suffer from any of these warning signs coll immediately to prevent possible advancing complications This Free Spinal public service is for a limited time only, by appointment, please ____^     Please meijtioo ad at ti%ie of *isit"
163,0,0,"AT",0,0,1,"For An Appointment Call S41-2727"
164,0,0,"B",0,0,0,
165,0,0,"AT",0,0,1,"jjp - Johnston Chiropractic Clinic"
166,0,0,"AT",0,0,1,"Palmer Graduate 11 SO Grove Street San Luis Obispo"
167,0,0,"AT",0,0,2,"HEY CAL POLY!"
168,0,0,"B",0,0,0,
169,0,0,"AT",0,0,2,"ARE"
170,0,0,"AT",0,0,2,"YOU?"
171,0,0,"AT",0,0,2,"GET PAID THIS SUMMER TO EIND OUT"
172,0,0,"AT",0,0,2,"■ • Physical litncss pcrtcctiuh"
173,0,0,"AT",0,0,2,"•       Scholarship CAimpclition"
174,0,0,"AT",0,0,2,"•       Intensive Leadership'rrainini:"
175,0,0,"AT",0,0,2,"No obligation-just a lot of rewards"
176,0,0,"AT",0,0,2,"UNITED STATES ARMY ROTC ADVENTURE TRAINING CAMP MAJOR MIKE ROBINSON 546-2371/2372"
177,0,0,"AT",0,0,2,"BE ALL YOU CAN BE"
178,0,0,"NA",0,0,0,"""1"
179,0,0,"AT",0,0,3,"SPEED Y DELIVER Y Quality Food At A Quality Price"
180,0,0,"AT",0,0,3,"One item on a 18 "" JUMBO PIZZA and"
181,0,0,"AT",0,0,3,"two soft drinks."
182,0,0,"AT",0,0,3,"One coupon per pizza. Expires 4/29/85   ^"
183,0,0,"AT",0,0,3,"549-8616"
184,0,0,"AT",0,0,3,"$8.00 "
185,0,0,"AT",0,0,3,"Popper Jack *s Pizza"
186,4,0,"PI",0,0,0,"Pag« 4"
187,4,0,"SH",0,0,0,"Sports"
188,4,0,"PI",0,0,0,"Mustang Daily . Monday, April is, 19SS"
189,4,7,"HL",0,0,0,"Even five-time winnar impressed"
190,4,7,"HL",0,0,0,"Golf amateurs perform well early In Masters"
191,4,7,"BL",0,0,0,"BY HAL BOOK"
192,4,7,"BL",0,0,0,"AP Sports Wfllsf"
193,4,7,"TXT",1,0,0,"AUGUSTA, Ga. (AP) - Jack Nicklaus had reached the 15th green in the first round of the Masters golf tournament when he casually glanced up at the leader board."
194,4,7,"TXT",2,0,0,"There, staring back at him from ” line of red digits that trans.ated"" into sub^par holes, were a couple of new ñames — Inman and Randolph."
195,4,7,"TXT",3,0,0,"John Inman and Sam Randolph are amateurs, rookies who played the prestigious Augusta National layout Thursday as if it were some ordinary public course."
196,4,7,"TXT",4,0,0,"Forget the* history and, tradition. Forget the lightning fast greens and the foreboding three-hole cluster called Amen Corner. Forget the legions of"
197,0,0,"B",0,0,0,-1
198,4,7,"TXT",4,0,0,"veterans who have been devoured by this challenging course."
199,4,7,"TXT",5,0,0,"Here were two kids, one barely out of college the other stiU an undergraduate, shooting 2-under par 70s that left them two shots off the opening round lead."
200,4,7,"TXT",6,0,0,"And Jack Nicklaus, five-time winner of the Masters who finished the first round one stroke behind them, loved it. *"
201,4,7,"TXT",7,0,0,"'T thought, ‘If this isn’t a shot in the arm for amateur golf,’ ” he ,said. “I’m tickled for them. Maybe' this will put some life back into amateur golf."""
