"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
67,1,4,"TXT","19",0,0,"Director Toni Flynn responded by saying that the Salvation Army cannot monitor the behavior of the homeless after they leave their pick up site, shelter and drop off location."
68,1,4,"TXT","20",0,0,"""We’re doing the best we can, but we can’t follow them around all day. They are citizens and we have no authority to tell them what they can and cannot do,” said Flynn."
69,1,4,"TXT","21",0,0,"Councilmembers last week concluded."
70,1,4,"ME","0",7,0,"Sac HOMELESS, page 7"
71,1,0,"ME","0",0,0,"I'VSlGt"
72,1,0,"ME","0",0,0,"'tvMion'M-j-'"
73,1,0,"ME","0",0,0,". i: iirumiic''. SvC"
74,1,0,"ME","0",0,0,"( t>mi!!c‘iitary page 3."
75,1,0,"ME","0",0,0,"New bulimia re>earch sheds light on ircaiincut. Sec age 4"
76,1,0,"ME","0",0,0,"; ipian ik‘i' Jo^'iisnn I' '.pi’cd oI ' I l‘> i.' Picdai"
77,1,0,"NA","0",0,0,"' > i ' t ■' pii'ce ''"
78,2,0,"SH","0",0,0,"Opinion ["
79,2,0,"PI","0",0,0,"Tuesday, September 27, 1988 Mustang Daily"
80,2,0,"NA","0",0,0,"□"
81,2,0,"MH","0",0,0,"Mustang"
82,2,0,"MH","0",0,0,"Daily"
83,2,0,"MH","0",0,0,"The newspaper for Cal Poly."
84,2,0,"MH","0",0,0,"Since 1916"
85,2,0,"MH","0",0,0,"April Karys, editor Anna Cekola, managing editor Alison Skratt, managing editor Coieen Bondy, opinion editor Terry Lightfoot, sports editor Donna Taylor, spotlight editor Nicole Jones, insight editor Shelly Evans, lifestyle editor John S. Baker III, commentary editor K.M. Cannon, photo editor Amber Wisdom, asst, photo editor Peggy Yeyna, business manager Jacqueline Tasch, faculty adviser"
86,2,5,"HL","0",0,0,"Round one: Won?"
87,2,5,"TXT","1",0,0,"Round one of this great presidential boxing match is over, and the results are of course mixed. Both parties threw their best one-liner punches, but few crucial answers were voiced. That makes it even more imperative that the public tunc in to the second debate, scheduled for Oct. 13 or 14. On Oct. 5 the running mates will have at it."
88,2,5,"TXT","2",0,0,"In this day of the 30-second spot, one-liners often get more attention than real answers. Disappointingly, neither candidate gave many substantial answers. They dressed for success, polished their public images, had a wealth of information about their opponents’ weak points, but neither provided brilliant answers to problems. For some viewers, off-the-cuff remarks become the focus of the debates, with little else to go by."
89,2,5,"TXT","3",0,0,"Don’t give up, however tempting it may be. It is important to pay attention to the debates, to the media blitz (not the 10-second televsion bleeps, but in-depth articles in better publications)."
90,2,5,"TXT","4",0,0,"If Bush is elected, he will most certainly pack in a solidly conservative Supreme Court, a legacy that will live with us well into the next century. The next president may be able to appoint as many as 160-200 lower court judges. The conservatives are systematically trying to reverse the gains of the whole civil rights era."
91,2,5,"TXT","5",0,0,"Women seeking abortions will be branded criminals if Bush is elected. And what leaps will Bush make in the quest for better race relations? Who will he be accountable to, if even now we can’t get him to account for his role in the Iran-Contra scandal? A long resume is OK, if quantity is complemented by quality."
92,2,5,"TXT","6",0,0,"Then there is Senator Dan Quayle. If the phrase “President Quayle” isn’t enough to make America wake up sweating in the middle of the night, Americans are sleeping much too soundly."
93,2,5,"TXT","7",0,0,"There are still a few months before the election. If you haven’t been paying attention, start now. This election is not unimportant. As students, think what the Reagan/Bush administration has done for financial aid. What financial aid, you might rightly ask."
94,2,5,"TXT","8",0,0,"At this point in the election, the Mustang Daily editorial staff is endorsing Michael Dukakis as the candidate of choice."
95,2,0,"SH","0",0,0,"Letters to the Editor"
96,2,7,"HL","0",0,0,"Quayle has many faults"
97,2,7,"TXT","1",0,0,"Editor — Who is Dan Quayle? The uproar over his use of family influence to avoid military service in Vietnam is obscuring other defects in his background."
98,2,7,"TXT","2",0,0,"Quayle's close friends and family acknowledge his glaring lack of intellectual ability. Theodore Bendall, Quayles’s family attorney, recently said if he could change the Indiana senator he would “increase his I.Q. He is not an intellect.” Quayle’s father freely admits that his son’s main"
99,2,7,"TXT","2",0,0,"interest in school was “broads and booze.”"
100,2,7,"TXT","3",0,0,"Dan Quayle’s mediocre academic standing in high school apparently prevented him from applying to major universities. Instead he went to little DePauw University where his grandfather was a member of the board of trustees and a major contributor."
101,2,7,"TXT","4",0,0,"In college Quayle had a reputation for being a poor student, frequently drinking to excess, and dating many women. A former professor says Quayle received mostly C’s and he got a D in at least one course in his major, political science. His good looks and nonintellectual image led some classmates to nickname him derisively as “face man.”"
102,2,6,"HL","1",0,0,"Poly: cultural wasteland"
103,2,6,"TXT","1",0,0,"When 1 first started at Cal Poly, in fall 1986, I was immediately struck by how few minority students attend this school. As I walked around the campus my first few days here, 1 kept looking for Hispanic, Black and Asian students but what I mostly saw was white students."
104,2,6,"TXT","2",0,0,"I had a hard time adjusting to this since I came from a university that was much more racially diverse than Cal Poly. I attended the University of Kansas, Lawrence, Kan., where students from Mexico, South America, the Middle East, Africa, Asia and the United States learned and lived together. Mexicans, Nicaraguans, Africans, Chinese, Koreans and students from many other countries and from here learned about each other by studying, partying and living together. 1 learned quite a bit about myself and about other races when I lived with a black student from Kansas City, Kan. and later, with a student from Cuba."
105,2,6,"TXT","3",0,0,"I did not realize when I applied to Cal Poly that it was for the most part an all-white university. But I soon realized it after my first week here."
106,2,6,"TXT","4",0,0,"Granted, there are minority students attending school here, but they are few in number. When I last worked for the Mustang Daily, as the minority affairs reporter, there were about 72 white students for every black student. 1 doubt that number has changed very much since then."
107,2,6,"TXT","5",0,0,"By attending school here, students are being deprived of real education: how to get along with, learn about and understand students who come from a different racial background and culture than themselves. When white students graduate from Cal Poly they are in for a rude awakening if they think the outside world is just like life on campus. White students will have to learn on their own how to get along with clients, customers, coworkers, and bosses who are minorities."
108,2,6,"TXT","6",0,0,"Has Cal Poly failed in teaching its white students about other cultures and races by having so few minority students attend this school? I think so. By lacking in the cultural diversity found at"
109,2,6,"SH","0",0,0,"Reporter’s Notebook"
110,2,6,"BL","0",0,0,"By Jeff Blizzard"
111,2,6,"TXT","6",0,0,"other universities. Cal Poly is depriving its students of an important, and essential, aspect of college education — learning how to accept others by talking, socializing and learning together."
112,2,6,"TXT","7",0,0,"I know many people at Cal Poly are working hard to increase the number of minority students on campus, but they are facing an uphill battle. Some black students I’ve talked with, and I’m certain other minority students feel the same, feel out of place and unwelcome on this campus sometimes, simply because they are a different race."
113,2,6,"TXT","8",0,0,"It would be difficult, if not impossible, for recruiters to drastically increase the minority population on campus because minority high school students realize how few blacks, Hispanics and Asians attend Cal Poly. How can you sell minority students on this school if you can’t guarantee them they will feel welcome or have a large support network of other minority students?"
114,2,6,"TXT","9",0,0,"It disturbs me when 1 hear white students question how minority students can get into school here. I’ve heard some white students say blacks and other minorities only get into Cal Poly because of minority quotas. How ignorant, cruel and small-minded can students be? I hope that is not the prevailing attitude white students hold toward minority students. When I see blacks, hispanics and Asians on campus I do not question how they got here. Instead, I wish there were more minority students like them here."
115,2,6,"TXT","10",0,0,"The next time you are walking to class in a sea of white faces think about what you are missing out on by attending Cal Poly."
116,2,7,"TXT","5",0,0,"Clark Adams, a former classmate, said “He was not a guy to take a position on anything except who his date was on Friday night and where to get drunk on Saturday night.” Another classmate, Joseph Wirt, said Quayle majored in “girls, golf, and alcohol” at DePauw."
117,2,7,"TXT","6",0,0,"Quayle’s college record was so spotty that a furor erupted in 1982 when the college announced it would award an honorary doctor of laws degree to Quayle. The faculty secretly voted 32-24 against awarding the degree."
118,2,7,"TXT","7",0,0,"Despite Quayle’s assertion that he joined the National Guard to go to law school as soon as possible, he did not go to law school right away. He did not meet Indiana University law school’s academic requirements. “They wouldn’t take him in,” his"
119,2,7,"TXT","7",0,0,"father, James Quayle, told the Washington Post. A year later, “somehow he got in, he talked his way in” and attended night school, James Quayle said."
120,2,7,"TXT","8",0,0,"Quayle said he wanted to bypass the military because of his interest in law, but there is no evidence that he accomplished anything as an attorney. Quayle’s friends in the legal profession cannot remember any cases that he handled. Almost immediately after opening his law practice, Quayle told his father he wanted to do something else and became assistant publisher of his father’s newspaper."
121,2,7,"TXT","9",0,0,"His grandfather, Eugene Pulliam, who headed the most powerful newspaper empire in Indiana, was famous for blatantly mixing right wing politics and"
122,2,7,"TXT","9",0,0,"newspaper journalism with impunity. Quayle’s father was a member of the John Birch Society in the 1960s."
123,2,7,"TXT","10",0,0,"The financial and editorial backing of his father got Quayle elected to the House in 1976. With the strong backing of his uncle’s Indianapolis newspapers he became a U.S. senator in 1980."
124,2,7,"TXT","11",0,0,"Voters have an opportunity to beat Bush and bag Quayle in November. Dan Quayle is another example of the intellectually bankrupt yuppie scum the country club Republicans are trying to foist on the American public as a poor excuse for leadership. The voters can see through their goody-two-shoes facade and trite cliches."
125,2,7,"BL","0",0,0,"Jim Senyszyn Connecticut"
126,2,0,"CN","0",0,0,"BLOOM COUNTY"
127,2,0,"NA","0",0,0,"^!)owsf>tBAP<MCKLy fteour ou^iTi ñvRAcie cm mm sotL^ Tmmme^r.."
128,2,0,"CN","0",0,0,"by Berke Breathed"
129,2,0,"B","0",0,0,
130,2,0,"B","0",0,0,"		"
131,2,0,"NA","0",0,0,"	TVOhiifrS	"
132,2,0,"NA","0",0,0,"/*»'	m cuRy	"
133,2,0,"NA","0",0,0,".7WÍ mrmLVf p/rpf^5im"
134,2,0,"NA","0",0,0,"ONPmPUCWN. _"
135,2,0,"MH","0",0,0,"Mustang Daily is published daily by the Cal Poly journalism department Unsigned editorials reflect the majority view of the the Editorial Board Advertising it solely for informatiortal purposes and does not represent an endorsement by the publisher or the university. Mustang Daily office is located in Room 226 of the Graphic Arts Building, San Luis Obispo, CA 93407. (005)756-1143."
136,2,0,"MH","0",0,0,"Advertising Director: A J. Schuermann Jr."
137,2,0,"MH","0",0,0,"Account Executives; John Alexkxj, Mark Azevedo, Katy Bartiebaugh,"
138,2,0,"MH","0",0,0,"Chuck Bartunek, Larry Bittleston, Kim Carlson. Marisa Fujikake, Lysa Francis."
139,2,0,"MH","0",0,0,"Bret Goodman, Kristi Honda, Ron Same, Mike Weiser Ciattified Advertising: Larry Bittleston: Manager, Kathy Conlan, Tracy Fowler, Dan Malone. Dani Quittner. Business Directory Circulation Staff: Darin Hershberger."
140,2,0,"MH","0",0,0,"Computer Operations: Dan Malone Production Manager: Sarxfy Kolbe"
141,2,0,"MH","0",0,0,"University Graphic Systems: Kevin Elder, General Mgr, Bill Naritomi, Pre-Press Mgr, Tony Cerrato, Press Mgr, Tom Connelly. Asst. Mgr. Paste-Up; John Grubb, Asst Mgr. Electronic Imaging; Mark Ford. Asst Mgr. Web Publications."
142,3,0,"B","0",0,0,
143,3,0,"SH","0",0,0,"Commentary"
144,3,0,"PI","0",0,0,"Mustang Daily Tuesday, September 27, 1988 3"
145,3,0,"NA","0",0,0,1
146,3,0,"OT","1",0,0,"Behold, a new page in the Mustang Daily — Commentary."
147,3,0,"OT","1",0,0,"In the Tuesdays to come, students will be exposed to the commentary of writers from one end of the political and philosophical spectrum to the other — from students, professors and outside sources."
148,3,0,"OT","2",0,0,"Ideas and issues discussed won’t always be contemporary per se, and readers shouldn’t expect extraordinary insight or mind boggling profundities; writings of this nature are located in prestigious publications and books, penned by well-paid professionals or sagacious authors. Contributors to this page are not paid.'"
149,3,0,"OT","3",0,0,"Articles and illustrations are welcomed and appreciated."
150,3,0,"OT","4",0,0,"Enjoy!"
151,3,0,"OT","0",0,0,"□"
152,3,8,"TXT","1",0,0,"Reading philosophy can do wonders for anyone concerned about increasing self-understanding and metaphysical awareness. This summer my philosophy professor required the class to read Plato’s Republic. I benefited tremendously."
153,3,8,"TXT","2",0,0,"In the course of reading this classic and taking notes on the corresponding lectures, I began to understand why Plato is a philosophical giant — he has scattered pearls of wisdom throughout his works."
154,3,8,"TXT","3",0,0,"To my delight, one of the pearls 1 discovered was quite simply the value of truth. And I learned that it is not important to be victorious in an argument; it is important to discover the truth, or learn what was formerly thought to be the truth was not that at all. This aided me, a habitual sophist, immensely."
155,3,8,"TXT","4",0,0,"Needless to say, this pearl is all too scarce in our nation’s courtrooms and forums of political debate. ‘ Imagine the turmoil that would exist if this pearl were to come into vogue among lawyers and politicians. Yes, imagining the unimaginable is difficult."
156,3,8,"TXT","5",0,0,"But perhaps I am too harsh. There are certainly many of the forementioned actors who realize the value of truth; however, they also know the odds against them succeeding in those media, should they hold this value in high regard, and thus reflect it in their comportment. It is no wonder legal and political mavericks are few and far between."
157,3,8,"TXT","6",0,0,"Crusading to revolutionize those media is not an attractive prospect. It’s a cruel world to say the least and I am but a feeble and fragile creature. Sensible spirits often die bitter and resentful when they forsake their needs and desires, and those of their loved ones, in order to combat the seemingly ubiquitous dragons."
158,3,8,"TXT","7",0,0,"For those not so brave and daring souls, that is, for the more selfish folk, myself included, I recommend seeking pearls of wisdom instead of clawing a way to the top of the manure heap. Beneficial change would occur more rapidly if a greater number of humans chose this path."
159,3,8,"TXT","8",0,0,"The treasure maps to these pearls of wisdom are not so hard to find. One place they are located is in classic works of philosophy."
160,3,8,"BL","0",0,0,"Commentary Editor, John S. Baker ///"
161,3,0,"AT","0",0,1,"“One set d pictures just"
162,3,0,"AT","0",0,1,"isn’t enough!”"
163,3,0,"AT","0",0,1,"Get 2 sets"
164,3,0,"AT","0",0,1,"of KODAK Color Prints for the price of 1!"
165,3,0,"AT","0",0,1,"Order one set of KODAK Color Prints at the regular price and get a second set to share. So hurry! Bring in your film today for quality developing and printing hy Kodak. And ask for full details."
166,3,0,"AT","0",0,1,"Offer good through October 1."
167,3,9,"HL","0",0,0,"Environomically speaking"
168,3,9,"BL","0",0,0,"By Ron Bearce"
169,3,9,"TXT","1",0,0,"Students during the ‘60s and ‘70s more than any other group led America to a new way of thinking. No other issue more illustrated this than the environmentalist movement."
170,3,9,"TXT","2",0,0,"What has become of the passion surrounding this issue? While it has far from died out, with attention put on the greenhouse effect and other subjects, it seems to have taken a back seat to economic isues."
171,3,9,"TXT","3",0,0,"Those ‘60s and ‘70s students now turned teachers, office workers, parents and even business people, seem to put more attention on mortgages, car payments and their children’s own education than the environmental idealism of the recent past."
172,3,9,"TXT","4",0,0,"And what of America’s current students? Is the economic emphasis, including future careers and making big money, much more important than any ecological idealism?"
173,3,9,"TXT","5",0,0,"Has the 1980s environmentalism simply become a negative movement, one that says ‘No!’ to needed housing, new businesses, new energy sources, etc., dividing communities into uncompromising factions?"
174,3,9,"TXT","6",0,0,"As both a ‘70s envrionmentalist student and an ‘80s parent who owns a small business. I’ve seen both the environmental and economic sides of many issues in the last 10 years. Any questions that arise may be answered by solving one final question: What is the true relationship between basic economic laws and environmental causes?"
175,3,9,"TXT","7",0,0,"After studying hundreds of environmental and economic issues there is almost without exception only one answer: The more that basic free market economic laws are violated, the greater the en-"
176,3,9,"TXT","7",0,0,"vironmental destruction."
177,3,9,"TXT","8",0,0,"This blending of environmentalism and economic laws is a new approach 1 call Environomics."
178,3,9,"TXT","9",0,0,"There are basic Environomic laws that, if followed, will limit both environmental and economic damages:"
179,3,9,"TXT","10",0,0,"* Pricing all commodities such as water, metals, energy and houses at free market rates that include all costs of obtaining, manufacturing and distributing the commodities;"
180,3,9,"TXT","11",0,0,"•Not subsidizing these commodities with government funding;"
181,3,9,"TXT","12",0,0,"•In supplying these commodities, do not set up government mandated monopolies distorting the pricing, costs, supplies and need for each commodity;"
182,3,9,"TXT","13",0,0,"•Allowing the supply of these commodities to be provided privately based on free market supply and demand laws;"
183,3,9,"TXT","14",0,0,"•Protecting the rights of property owners or those using the property with permission of the property owner from dangerous pollution, radiation, loss of property and other property violations;"
184,3,9,"TXT","15",0,0,"•Protecting the property rights from government intervention destructive to aesthetics or property environment."
185,3,9,"TXT","16",0,0,"Here are some examples of how Environomics works:"
186,3,9,"TXT","17",0,0,"Nuclear power:	the Price-"
187,3,9,"TXT","17",0,0,"Anderson Congressional Act limits a nuclear plant’s liablility in case of an accident — no other industry gets this limitation — and nuclear power plants are built and run by government subsidized monopolies; violates my first four laws, sometimes the fifth and sixth."
188,3,9,"TXT","18",0,0,"Water: federal, state and local governments first subsidize water projects then sell the water below market rates, both preventing"
189,3,9,"TXT","18",0,0,"private companies from becoming involved in supplying water and resulting in huge amounts of “cheap” water to be wasted; also violates laws 1-4, and sometimes S and 6 with dam and underground projects."
190,3,9,"TXT","19",0,0,"Offshore oil: leases of federal waters, the property of U.S. citizens, sometimes is below market rates, without the consent of a majority of citizens or results in significant air or water pollution; violates laws 1-3,5 and 6."
191,3,9,"TXT","20",0,0,"By combining the environmentalism fo the ‘60s and ‘70s with the economic realities of the ‘80s, a new coalition of business and property owners, fiscal conservatives and environmentalists can carry the concept of of Environomics on into the 1990s and beyond in a cooperative manner that will resolve many of the environmental and economic issues facing us today."
192,3,9,"TXT","21",0,0,"The idea that the economy and the environment are inseperable should be no suprise. Nearly all of what we put into the economy comes out of the natural environment. The natural environment is huge compared to the size or number of people, meaning, (with the exception of a few very toxic substances), that it takes huge, economically-expensive efforts to change it. Also, most pollution is simply waste that hurts the economies of polluted areas."
193,3,9,"TXT","22",0,0,"So, can a person of the ‘80s be oriented toward a more economically prosperous future and not feel guilty about neglecting the environment we live in?"
194,3,9,"TXT","23",0,0,"Yes, by understanding the concept of Environomics and working together for a better future."
195,3,9,"BL","0",0,0,"Ron Bearce is currently writing a book entitled Environomics. He is the director of the Concerned Citizens of SLO County."
196,3,0,"AT","0",0,2,"BREAKFAST"
197,3,0,"AT","0",0,2,"LUNCH"
198,3,0,"AT","0",0,2,"w"
199,3,0,"B","0",0,2,
200,3,0,"AT","0",0,2,"w"
201,3,0,"AT","0",0,2,"^8^"
202,3,0,"AT","0",0,2,"Snack Bar 7:00-10:00"
203,3,0,"AT","0",0,2,"•	Eggs"
204,3,0,"AT","0",0,2,"•	Bacon"
205,3,0,"AT","0",0,2,"•	Sausage"
206,3,0,"AT","0",0,2,"•	Potatoes"
207,3,0,"AT","0",0,2,"•	Pancakes"
208,3,0,"AT","0",0,2,"• French Toast"
209,3,0,"AT","0",0,2,"•	Creative Omelettes"
210,3,0,"AT","0",0,2,"Sandwich Plant 6:30-10:00"
211,3,0,"AT","0",0,2,"• Breakfast Burritos"
212,3,0,"AT","0",0,2,"•	Breakfast Croissarüs"
213,3,0,"AT","0",0,2,"•	Custom Sandwiches"
214,3,0,"AT","0",0,2,"Snack Bar 10:30-4:00"
