"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
66,2,0,"OT",0,0,0,"No, it’s within a reasonable lifespan of people still emotionally troubled by what happened. It was such an epic disaster that it will be imprinted in their minds for a long time."
67,2,4,"TXT",1,0,0,"The times they are a-changin’. In 1982 I left a good job at Marineland to come to Cal Poly. At the time KMET was my favorite radio station, we used punch cards in computer classes and Mustang Daily was put together on manual typewriters. All that’s changed. Marineland and KMET are gone, while the journalism and computer science departments have entered the 20th century."
68,2,4,"TXT",2,0,0,"For better or worse, change is inevitable, except when the invisible hand of bureaucracy gets a grip on an idea and holds onto it long after it has outlived its usefulness. The General Education and Breadth requirements, that bouillabaisse of classes that dominates our college experience, is one idea that has gone awry, destroying students’ enthusiasm and replacing it with boredom."
69,2,4,"TXT",3,0,0,"There is an old saying that a little knowledge is a dangerous thing. But when the subject is philospophy, psychology or the life sciences, a little knowledge is a useless thing."
70,2,4,"TXT",4,0,0,"Introductory classes are"
71,2,0,"SH",0,0,0,"PERSPECTIVFS"
72,2,4,"BL",0,0,0,"Kenneth Dintzer"
73,2,4,"HL",0,0,0,"A little knowledge is a useless thing"
74,2,4,"TXT",4,0,0,"geared toward preparing students for further studies in the field. But with numerous GE requirements to fulfill, one class may be the only exposure to a subject students get. Most of what is covered is quickly forgotten, and anything retained is only useful when working crossword puzzles and watching “Jeopardy.”"
75,2,4,"TXT",5,0,0,"The “take this class, take that class” approach is defended by some who feel it encourages students to examine their options. But at Cal Poly, changing majors is discouraged. The theory at this university is a) know what you want to do before you get here, and b) do that."
76,2,4,"TXT",6,0,0,"With these two conflicting approaches — opening students to a subject and then denying them the opportunity to pursue it fur-"
77,2,4,"TXT",6,0,0,"ther — students have become frustrated and disinterested."
78,2,4,"TXT",7,0,0,"Even administrators know most GE classes are throwaways. With a wink and a nod, they allov/ us to take the classes credit/no credit so the grades won’t affect GPAs. Teachers, with a wink and a nod, grade on attendance and rote memorization. And students play “cram ’n’ forget.”"
79,2,4,"TXT",8,0,0,"All this winking and nodding makes me dizzy and nauseated. It’s not that I mind easy classes, but if I’m going to waste my time. I’d rather do it with a beer in hand and a Dodger game on the TV."
80,2,4,"TXT",9,0,0,"An example of my point lies in the computer science requirement many students face. They get 10 weeks of writing programs"
81,2,4,"TXT",9,0,0,"in BASIC. But teaching programming to non-technical majors is like starting a driver’s training class with a detailed analysis of carburetors."
82,2,4,"TXT",10,0,0,"The school systematically instills computer phobia instead of teaching how to choose a good computer and how a computer can help in everyday life. The misdirected efforts can be seen in the library’s computer room on any night: students cursing, crying and requesting help from anyone with an air of confidence."
83,2,4,"TXT",11,0,0,"Every computer science student knows how pathetic the situation is, but that hasn’t brought change."
84,2,4,"TXT",12,0,0,"To rectify the situation, two steps must be taken. First, departments must renovate GE classes so they are interesting to the masses — light on theory and memorization and heavy on practical use. Second, and more importantly, students should be given more control of their curriculum and a chance to build an enjoyable and useful schedule."
85,2,4,"TXT",13,0,0,"After all, it’s not like they’re going to choose something easier than Biology 101."
86,2,0,"SH",0,0,0,"LETTERS"
87,2,5,"HL",0,0,0,"Poly’s fun derived from booze instead of dating"
88,2,5,"TXT",1,0,0,"Editor — 1 am writing to express my concern over certain aspects of the college atmosphere. There seems to be a serious lack of social dating at Cal Poly, and San Luis Obispo as well."
89,2,5,"TXT",2,0,0,"At first, I figured this to be my problem, but it seems that many others have also come to address this issue. I have tried many times to ask girls out, and have always ended up with the same old excuses, along with suspicious eye contact as to the nature of the request."
90,2,5,"TXT",3,0,0,"Last year, I took a psychology class and was informed by the professor and several members of the Gay and Lesbian Student Union that approximately 40 percent of the female population at Cal Poly is lesbian. That seemed rather high. 1 realized that other factors such as population ratios, academically stressful environment and location of the university also have to be taken into consideration. Still, the ballpark statistic stayed in the back of my mind."
91,2,5,"TXT",4,0,0,"1 am happy to say that this quarter I have been dating girls in Santa Barbara. There is an obvious difference in social attitudes. There is more openness there and less emphasis on deriving one’s social life from a bottle of booze, as is the case here."
92,2,5,"TXT",5,0,0,"In closing, 1 must say that my educational experience here has not been all negative. 1 have received a fast-paced education in SLO town! 1 also have a degree that says B.S. on it (and we all know what that stands for)."
93,2,5,"BL",0,0,0,"R.H. BOHL"
94,2,0,"OT",0,0,0,"Correction"
95,2,0,"OT",0,0,0,"In a story on allergies in the May 18 Mustang Daily, local allergist"
96,2,0,"OT",0,0,0,"Holzhauer was incorrectly identified as a collaborator in a pollen study"
97,2,0,"OT",0,0,0,"Holzhauer is a financial supporter of the project but has not done actual fieldwork. Dr. Arthur McLean should have been credited for his work on the project."
98,2,0,"MH",0,0,0,"Mustang Daily"
99,2,0,"MH",0,0,0,"Susan Edmondson"
100,2,0,"MH",0,0,0,"Sue Harris"
101,2,0,"MH",0,0,0,"Mary Anne Talbott"
102,2,0,"MH",0,0,0,"Pamela Varma"
103,2,0,"MH",0,0,0,"Matt Weiser"
104,2,0,"MH",0,0,0,"Elmer Ramos"
105,2,0,"MH",0,0,0,"Dan Ruthemeyer"
106,2,0,"MH",0,0,0,"Shirley Thompson"
107,2,0,"MH",0,0,0,"Daryl Shoptaugh"
108,2,0,"MH",0,0,0,"Grant Shaffer"
109,2,0,"MH",0,0,0,"Alan MacKenzie"
110,2,0,"MH",0,0,0,"University Graphic Systems"
111,2,0,"MH",0,0,0,"Katie Dougherty"
112,2,0,"MH",0,0,0,"Rob Newlin"
113,2,0,"MH",0,0,0,"Sandy Kolbe"
114,2,0,"MH",0,0,0,"Robin Beck"
115,2,0,"CN",0,0,0,"COUNTY"
116,2,0,"CT",0,0,0,"pw...immrv¥ir imsFeafíLPfífwouLP KmimwpisctJíó.. m Tmufmm.mysCAL fucrs OF fiRBum-"
117,2,0,"CT",0,0,0,"!"
118,2,0,"CT",0,0,0,"J"
119,0,0,"B",0,0,0,
120,2,0,"CT",0,0,0,"OH, I KNOW rve"
121,2,0,"CT",0,0,0,"youMAume known"
122,2,0,"CT",0,0,0,"YOm FOR AOm IT THIS,."
123,2,0,"CT",0,0,0,"/"
124,2,0,"CT",0,0,0,"PeCAPBi, ^ X"
125,0,0,"B",0,0,0,
126,0,0,"B",0,0,0,
127,2,0,"CN",0,0,0,"by Bcrtec"
128,2,0,"NA",0,0,0,"IJ<^íoÍ9"
129,2,0,"CT",0,0,0,"you"
130,2,0,"C",0,0,0,"WBKBN'T"
131,2,0,"CT",0,0,0,"deRtOUO,"
132,2,0,"CT",0,0,0,"mm you ?"
133,2,0,"CT",0,0,0,"t"
134,2,0,"OT",0,0,0,"Mustang Daily Is published dally (except weekends, holidays and exam periods) by the journalism department, California Polytechnic State University, San Luis Obispo. Advertising appearing herein is solely for informational purposes and does not represent an endorsement by the Publisher or the University Unsigned editorials reflect the majority of the Editorial Board, consisting of the editor, managing editor, special sections editors, sports editor and opinion page editor. Produced by University Graphic Systems. Mustang Daily office Is located in Graphic Arts Building, Room 226. Telephone (806) 546-1143. Copyright 1987 by Mustang Daily."
135,2,0,"NA",0,0,0,"4>S"
136,0,0,"B",0,0,0,
137,3,6,"HL",0,0,0,"Airplane close calls increase"
138,3,6,"TXT",1,0,0,"LOS ANGELES (AP) — At least 58 near collisions of airplanes have occurred over Southern California so far this year, and in at least two dozen instances, the aircraft missed one another by less than 500 feet, it was reported today."
139,3,6,"TXT",2,0,0,"Statewide, 86 near collisions were reported through May 10 compared to 56 for the period in 1986, according to the records. There were 204 near collisions reported in California for all of last year."
140,3,6,"TXT",3,0,0,"In at least 11 instances, air traffic controllers did not see the impending collisions on their radar scopes, according to Federal Aviation Administration reports."
141,3,7,"HL",0,0,0,"Weekend gas prices will rise"
142,3,7,"TXT",1,0,0,"SAN FRANCISCO (AP) — Motorists traveling during Memorial Day weekend will find gasoline prices have started their summer price climb, and self-serve unleaded regular will cost about 94 cents, the California State Automobile Association said Monday."
143,3,7,"TXT",2,0,0,"The AAA affiliate said gasoline prices have been on the rise for the past four months, although prices today for unleaded at self-service pumps are 8 cents lower than a year ago."
144,3,7,"TXT",3,0,0,"A CSAA survey of more than 600 service stations in Northern California and Nevada shows that prices of regular leaded at self-service pumps are averaging 88 cents a gallon this month, up 2 cents, with full-serve prices at $1.24, up 4 cents."
145,3,7,"TXT",4,0,0,"Unleaded regular at full-service pumps is $1.22."
146,3,8,"HL",0,0,0,"Scope of civil rights expanded Iraq to investigate ship attack"
147,3,8,"TXT",1,0,0,"WASHINGTON (AP) — The Supreme Court, significantly expanding the scope of civil rights legislation, ruled Monday that federal civil rights laws aimed primarily at helping blacks may also protect Jews and Arabs against discrimination."
148,3,8,"TXT",2,0,0,"The court, in two unanimous decisions, in effect said that race may involve more than skin pigment."
149,3,8,"TXT",3,0,0,"In one case, the court cleared the way for a suit by an Arab who said he was denied tenure on a Pennsylvania college faculty because of racial discrimination."
150,3,8,"TXT",4,0,0,"In the second case, the court reinstated a suit by a Jewish congregation in Silver Spring, Md., against vandals who defaced a synagogue with anti-Semitic and Nazi-type slogans and symbols."
151,3,9,"HL",0,0,0,"Marijuana searches limited"
152,3,9,"TXT",1,0,0,"WASHINGTON (AP) — The Supreme Court, which last year said police do not need court warrants to search from airplanes for marijuana growing in fenced-in residential yards, Monday let stand California court decisions limiting the 1986 ruling."
153,3,9,"TXT",2,0,0,"The justices, over two dissenting votes, turned down an appeal by California prosecutors aimed at striking down the state court decisions."
154,3,9,"TXT",3,0,0,"The decision effectively limits aerial searches for marijuana to navigable public airspace, which begins at 1000 feet, and prevents intrusion into private airspace below that without a search warrant."
155,3,10,"TXT",1,0,0,"IRAQ (AP) — In its first statement on the missile attack that killed 28 servicemen aboard the USS Stark, Iraq said President Saddam Hussein had ordered a “serious investigation” to determine if the Iraqi air force was responsible."
156,3,10,"TXT",2,0,0,"“Iraq would never intentionally attack any target in the gulf unless it was an Iranian target. If this attack was indeed carried out by Iraqi warplanes, then it would have been a result of confusion by the pilots,” an unidentified Iraqi Foreign Ministry spokesman told the official Iraqi news agency."
157,3,10,"TXT",3,0,0,"The spokesman urged U.S. officials to be patient until the investigation was done and said Iraq would “publicly announce the results of the investigation and apologize with sorrow” if its air force was behind the attack."
158,3,10,"TXT",4,0,0,"“We expect an apology and compensation for the men who died in this tragic incident,” a White House statement said. “We also seek compensation for the ship.”"
159,3,10,"TXT",5,0,0,"President Reagan expressed “concern and anger” Monday over the missile strike and he put U.S. forces on heightened alert in the Persian Gulf with authority to fire at threatening warplanes."
160,3,10,"TXT",6,0,0,"Vice Adm. Henry C. Mustin, deputy chief of Naval operations, said the ship knew it had been “locked on” by the warplane’s radar — a prelude to attack — and that the Stark attempted twice by radio to warn the attacker that it was an American ship. He said it was not known whether the message was received."
161,3,0,"AT",0,0,1,"When In trouble, Call a PAL..."
162,3,0,"AT",0,0,1,"PAL"
163,3,0,"AT",0,0,1,"AUTO DETAIL"
164,3,0,"AT",0,0,1,"AUTO BODY REPAIR PAINT • STEAM CLEANING AUTO DETAILING Free pickup arid delivery."
165,3,0,"AT",0,0,1,"12 Higuera St. SLO 54Ó-8327"
166,3,0,"AT",0,0,2,"HAIRCUTS HAIRCUTS HAIRCUTS HAIRCUTS HAIRCUTS"
167,3,0,"AT",0,0,2,"Go With Experience"
168,3,0,"AT",0,0,2,"(O"
169,3,0,"AT",0,0,2,"K"
170,0,0,"AT",0,0,0,3
171,3,0,"AT",0,0,2,"Ü"
172,3,0,"AT",0,0,2,"ÇÇ"
173,3,0,"AT",0,0,2,"<"
174,3,0,"AT",0,0,2,"(O"
175,3,0,"AT",0,0,2,"H"
176,3,0,"AT",0,0,2,"Ü"
177,3,0,"AT",0,0,2,"ÇÇ"
178,3,0,"AT",0,0,2,"<"
179,3,0,"AT",0,0,2,"I"
180,3,0,"AT",0,0,2,"loeD/Co."
181,3,0,"AT",0,0,2,"^ Master Barber & Stylist"
182,3,0,"AT",0,0,2,"Haircut Speciais from $10 544-1717"
183,3,0,"AT",0,0,2,"544 HIGUERA ST.- SAN LUIS OBISPO, CA 93401"
184,3,0,"AT",0,0,2,"HAIRCUTS Free Parking"
185,3,0,"AT",0,0,2,"I"
186,3,0,"AT",0,0,2,">"
187,3,0,"AT",0,0,2,"j)"
188,3,0,"AT",0,0,2,"o"
189,3,0,"AT",0,0,2,"CO"
190,3,0,"AT",0,0,2,"I"
191,3,0,"AT",0,0,2,">"
192,3,0,"AT",0,0,2,"DO"
193,3,0,"AT",0,0,2,"O"
194,3,0,"AT",0,0,2,"CO"
195,3,0,"AT",0,0,3,"Our 3- and 4- Private Bedroom Apartments..."
196,3,0,"AT",0,0,3,"...are now renting for the 1987-’88 Contract Year. Priorities given to those groups of 3 or 4 who apply together. Submit your applications today so we can accomodate your first choice! Limited single openings also available"
197,3,0,"AT",0,0,3,"mA/^"
198,3,0,"AT",0,0,3,"200 N. Santa R<»a St."
199,3,0,"AT",0,0,3,"San Luis Obispo, CA APARTMENTS 544-7007"
200,3,0,"AT",0,0,4,"Lose 141bs.| In 4 Weeks"
201,3,0,"AT",0,0,5,"V9l61)6Í9"
202,3,0,"AT",0,0,5,"2 STORY TOWN HOUSES"
203,3,0,"AT",0,0,5,"(805) 543-1450"
204,3,0,"AT",0,0,4,"No more textbooks, no more exams. Everything is gone except the excess weight you gained in school."
205,3,0,"AT",0,0,4,"Wouldn’t it be great to get rid of that too?"
206,3,0,"AT",0,0,4,"It’s 4 weeks until Summer Break. Lose those 15 lbs. you’ve gained before you go home."
207,3,0,"AT",0,0,4,"Onter"
208,3,0,"AT",0,0,4,"1504 Marsh at Calif. Blvd. 541-DIET"
209,3,0,"AT",0,0,4,"Moa.-Fri. 8:30-Naoii Sat. 7:SO10AM"
210,3,0,"AT",0,0,5,"AEROBICS"
211,3,0,"AT",0,0,5,"?"
212,3,0,"AT",0,0,5,"?"
213,3,0,"AT",0,0,5,"FITNESS"
214,3,0,"AT",0,0,5,"CENTER"
215,3,0,"AT",0,0,5,"? Private"
216,3,0,"AT",0,0,5,"A Universal Weights A Exercise Bikes A Rowing Machines"
217,3,0,"AT",0,0,5,"SWIMMING"
218,3,0,"AT",0,0,5,"POOL"
219,3,0,"AT",0,0,5,"SPORTS ACTIVITIES"
220,3,0,"AT",0,0,5,"555'ROMONA DRIVE SLO, CA 93401"
221,3,0,"AT",0,0,5,"A Multi-purpose Court"
222,3,0,"AT",0,0,5,"•"
223,3,0,"AT",0,0,5,"*"
224,4,0,"PI",0,0,0,"4 Tuesday, May 19.1987 Mustang Daily"
225,4,11,"HL",0,0,0,"All the president’s missions"
226,4,11,"HL",0,0,0,"Secretary helps him keep track of schedule"
227,4,11,"PH",0,0,0,"President Baker’s secretary Grace Arvidson."
228,4,11,"PH",0,0,0,"DARRELL MIHOfMustang Dally"
229,4,11,"BL",0,0,0,"By Paul J. Roberts"
230,4,11,"BL",0,0,0,"staff Writer"
231,4,11,"TXT",1,0,0,"Most students will never meet Cal Poly President Warren Baker because his time on campus is cut in half by his off-campus traveling."
232,4,11,"TXT",2,0,0,"Baker spends an average of 50 percent of his time off campus, according to his secretary, Grace Arvidson. This makes it necessary to divide his time on campus very carefully between the administration, faculty, students and community."
233,4,11,"TXT",3,0,0,"“He is very involved and would like to be more involved with a lot of other (student) groups than he can,” Arvidson said. “But he is always accessible for the things he needs to be involved with.”"
234,4,11,"TXT",4,0,0,"Frequently students will approach Arvidson with personal academic problems, asking to see Baker before using other proper channels and Arvidson will have to redirect them. “1 will refer them to someone in the academic area: their adviser, a department head, school dean, or even the vice president of Academic Affairs.”"
235,4,11,"TXT",5,0,0,"Because of his many responsibilities, Baker does not have time to meet with every student and hear their personal problems, although he will make time for students who have absolutely exhausted other channels."
236,4,11,"TXT",6,0,0,"“1 will help students who can’t be helped by anyone else and 1 always look for informal opportunities to meet with students. That’s when I learn the most,” Baker said. “What 1 do is try to accept as many invitations to student events as 1 can. I will also meet with any faculty member who wants to see me.”"
237,4,11,"TXT",7,0,0,"“He does have an open-door policy,” Arvidson said. “If a student comes in to see him and he isn’t busy, he will invite them in.” A few years ago Baker tried maintaining a weekly walk-in hour, “but it really didn’t work out, because students and faculty with problems came in trying to get the president to solve them. But he’s not involved with the day-to-day operations and doesn’t have time to solve problems that can be helped elsewhere.”"
238,4,11,"TXT",8,0,0,"Arvidson and Baker go over his calendar regularly to prioritize it, determining who he"
239,4,11,"TXT",8,0,0,"can see and what events he can attend."
240,4,11,"TXT",9,0,0,"“He likes to meet with students. He enjoys them and has good rapport with them. He especially likes to meet with groups when they invite him.” Baker receives many invitations from groups and tries to alternate those he accepts each year so that he can meet with as many different groups as possible. He also meets with ASI, the Poly Royal Board and the Academic Senate on a regular basis, but even those meetings are subject to his busy traveling schedule."
241,4,11,"TXT",10,0,0,"Baker travels every month to meetings with the California State University Board of Trustees, the CSU Presidents’ Executive Council, and the National Science Council, to which he was appointed by President Reagan. Before his appointment to the NSC, he held an appointed position on the Board for International Food and Agriculture Development. By policy, he can only maintain one presidential appointment at a time."
242,4,11,"TXT",11,0,0,"In addition to these regular meetings. Baker travels to meet with many other organizations. This month he is going to Dallas"
243,4,11,"ME",0,"BACK PAGE",0,"See BAKER, back page"
244,4,0,"NA",0,0,0,"WiiniiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiimmiiiiiiiiBmiiiiiiiiiiiiiMiiHiiiHimiiiHHHiiiiiiiiiiHitt"
245,4,0,"AT",0,0,2,". Men’s and Women’s Haircutting"
246,4,0,"AT",0,0,2,"SPRINGTIME SPECIAL"
247,4,0,"AT",0,0,2,"MEN $12 WOMEN $15"
248,4,0,"AT",0,0,2,"Gayle and Rosey provide precision haircuts and | perms to meet your specific needs."
249,4,0,"AT",0,0,2,"Open Mon-Sat., Evenings by Appoint."
250,4,0,"AT",0,0,2,"COTTONWOOD"
251,4,0,"AT",0,0,2,"HAIRCUTTING"
252,4,0,"AT",0,0,2,"385 HICUERA(parking in rear)"
253,4,0,"AT",0,0,2,"Please call Rosey or Gayle at 544-1174"
254,4,0,"AT",0,0,1,";tiiiiiiinnHiiiiiHiiiiiiiiniiuiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiimimmiinnniiiiHinHiHiiiiiiiiiiiniiiii"
255,4,0,"AT",0,0,1,"§"
256,4,0,"AT",0,0,1,"B"
257,4,0,"AT",0,0,1,"B"
258,4,0,"AT",0,0,1,"This is no time to worry about how you’re going to get your stuff hcMne"
259,4,0,"AT",0,0,1,"ThegixKl news is there is life after hnals. And viv can make it a little easier"
260,4,0,"AT",0,0,1,"At R\\ler we can rent yi w an>' sin: van t ir truck \t»u needVansthatareftintodrivc. (Fun ..whats (hat?) Manv’ are automatics. Most have power sieerinn, air amditkining and an AM/FM radio NMr can also hek> with hones, hand trucks, even"
261,4,0,"AT",0,0,1,"tips on kidding a truck. Which aiuki help take a load off uxir mirai."
262,4,0,"AT",0,0,1,"Whatever's left of it"
263,4,0,"AT",0,0,3,"NEXT YEAR..."
264,4,0,"AT",0,0,3,"Enjoy Quiet and Privacy"
265,4,0,"AT",0,0,3,"at"
266,4,0,"AT",0,0,3,"iàs Cà$tlà$"
267,4,0,"AT",0,0,3,"Deluxe one bedroom townhomes 3 blocks from campus"
268,4,0,"AT",0,0,3,"LEASING NOW FOR FALL QUARTER CALL 543-2032 for more information"
269,4,0,"AT",0,0,3,"OFFICE AT: 1377 STAFFORD ST #2, SLO, CA"
